"","990
007","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
029","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
068","1","***","","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research and Thesis","Course Total","3","***","","","","","","","","","","","","","","","","","","","",""
"G L E
418","Dept. Total","129","3.282","24.8","19.4","29.5","6.2","4.7","",".","",".","11.6","",".",".","",".","1.6","2.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"418
G L E","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","3.000",".",".","100.0",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","12","2.883","8.3","16.7","33.3","16.7","25.0","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","62","3.255","22.6","30.6","33.9","8.1","3.2","",".","",".",".","",".",".","",".",".","1.6",".",".","."
"Undergraduates","","76","3.200","19.7","27.6","35.5","9.2","6.6","",".","",".",".","",".",".","",".",".","1.3",".",".","."
"Special","","1","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Graduate","","52","3.458","30.8","7.7","21.2","1.9","1.9","",".","",".","28.8","",".",".","",".","3.8","3.8",".",".","."
"","Dept. Total","129","3.282","24.8","19.4","29.5","6.2","4.7","",".","",".","11.6","",".",".","",".","1.6","2.3",".",".","."
