"","875
001","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","875
017","4","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","875
018","1","***","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Special Topics","Course Total","6","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"INTER-AG
494","Dept. Total","267","3.888","80.5","5.6","2.6","1.1","1.1","",".","0.4","",".","",".","3.0","",".","",".","5.6",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","190","3.876","87.4","6.8","3.2","1.1","1.1","",".","0.5","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","42","3.865","85.7","4.8","2.4","2.4","2.4","",".",".","",".","",".",".","",".","",".","2.4",".",".","."
"Junior","","5","4.000","80.0",".",".",".",".","",".",".","",".","",".",".","",".","",".","20.0",".",".","."
"Senior","","24","4.000","12.5",".",".",".",".","",".",".","",".","",".","33.3","",".","",".","54.2",".",".","."
"Undergraduates","","261","3.882","80.1","5.7","2.7","1.1","1.1","",".","0.4","",".","",".","3.1","",".","",".","5.7",".",".","."
"Graduate","","6","4.000","100.0",".",".",".",".","",".",".","",".","",".",".","",".","",".",".",".",".","."
"","Dept. Total","267","3.888","80.5","5.6","2.6","1.1","1.1","",".","0.4","",".","",".","3.0","",".","",".","5.6",".",".","."
