"MOLECULAR & ENVIRONMENTA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"362
M&ENVTOX","","","","","","","","","","","","","","","","","","","",""
"606
Colloquium in Env Tox","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Toxicology I","001","","13","3.346","38.5","7.7","46.2",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"632
Ecotox: The Chemical Players","002","","15","3.433","46.7","20.0","13.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"633
Ecotox: Impacts on Individuals","002","","14","3.571","64.3","7.1","14.3","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"634
Ecotox: Populatn, Comm, Ecosys","002","","15","3.133","13.3","33.3","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"800
Seminar","001","","33","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","7","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","089","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","091","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","36","",".",".",".",".",".",".",".","75.0",".",".",".","25.0",".",".",".","."
