"TERM : 1122","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2011-2012","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","","","",""
"AFRO-AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","","","","",""
"AFROAMER
106","Dept. Total","786","3.520","47.5","22.8","20.9","2.9","2.2","0.8","0.5","",".","",".",".","",".","",".","2.5",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","59","3.678","69.5","13.6","10.2","3.4","1.7",".",".","",".","",".",".","",".","",".","1.7",".",".","."
"Sophomore","","199","3.469","46.7","22.1","20.1","5.0","3.0","1.5","0.5","",".","",".",".","",".","",".","1.0",".",".","."
"Junior","","175","3.443","38.3","25.1","26.3","3.4","2.3","0.6","0.6","",".","",".",".","",".","",".","3.4",".",".","."
"Senior","","334","3.551","47.9","23.7","21.3","1.5","1.8","0.6","0.6","",".","",".",".","",".","",".","2.7",".",".","."
"Undergraduates","","767","3.513","47.1","22.8","21.3","3.0","2.2","0.8","0.5","",".","",".",".","",".","",".","2.3",".",".","."
"Special","","2","3.600","50.0",".","50.0",".",".",".",".","",".","",".",".","",".","",".",".",".",".","."
"Graduate","","17","3.867","64.7","23.5",".",".",".",".",".","",".","",".",".","",".","",".","11.8",".",".","."
"","Dept. Total","786","3.520","47.5","22.8","20.9","2.9","2.2","0.8","0.5","",".","",".",".","",".","",".","2.5",".",".","."
