"","699
003","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","699
004","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"","699
005","1","***","","","","","","","","","","",".",".",".","",".",".",".","."
"Directed Study","Course Total","6","3.850","50.0","33.3",".",".",".",".",".",".","",".",".",".","",".",".",".","16.7","."
"INTL ST
504","Dept. Total","596","3.217","18.8","23.2","22.0","8.4","4.5","0.7","1.2","0.3","",".","20.0","0.2","",".","0.3","0.2","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"504
INTL ST","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","127","3.146","11.0","15.0","26.0","4.7","4.7",".","0.8",".","",".","37.0","0.8","",".",".",".",".","."
"Sophomore","","178","3.170","14.6","24.7","25.8","11.8","2.8","0.6","1.1",".","",".","17.4",".","",".",".",".","0.6","."
"Junior","","168","3.250","23.2","25.6","19.6","8.3","4.2","1.2","1.8","1.2","",".","14.3",".","",".",".","0.6",".","."
"Senior","","114","3.337","28.9","28.1","16.7","7.0","6.1","0.9","0.9",".","",".","9.6",".","",".","1.8",".",".","."
"Undergraduates","","587","3.224","19.1","23.5","22.3","8.3","4.3","0.7","1.2","0.3","",".","19.3","0.2","",".","0.3","0.2","0.2","."
"Special","","9","2.167",".",".",".","11.1","22.2",".",".",".","",".","66.7",".","",".",".",".",".","."
"","Dept. Total","596","3.217","18.8","23.2","22.0","8.4","4.5","0.7","1.2","0.3","",".","20.0","0.2","",".","0.3","0.2","0.2","."
