"","999
138","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
160","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","999
162","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Readng & Rsch-Marketing PhD","Course Total","6","4.000","50.0",".",".",".",".",".",".","",".","",".",".","",".","50.0",".",".",".","."
"MARKETNG
237","Dept. Total","1598","3.430","35.5","30.0","24.5","6.8","2.3","0.3","0.1","",".","",".",".","",".","0.3","0.3",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","2.500",".",".",".","100.0",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Sophomore","","89","3.213","19.1","27.0","33.7","18.0","2.2",".",".","",".","",".",".","",".",".",".",".",".","."
"Junior","","339","3.238","17.7","31.3","34.5","13.0","2.1","0.6",".","",".","",".",".","",".",".","0.9",".",".","."
"Senior","","685","3.462","38.5","30.1","21.2","6.3","3.6","0.3",".","",".","",".",".","",".",".",".",".",".","."
"Undergraduates","","1114","3.374","30.6","30.2","26.2","9.3","3.1","0.4",".","",".","",".",".","",".",".","0.3",".",".","."
"Special","","36","3.167","22.2","30.6","27.8","8.3","8.3",".","2.8","",".","",".",".","",".",".",".",".",".","."
"Graduate","","446","3.615","48.9","29.8","19.5","0.4",".",".",".","",".","",".",".","",".","1.1","0.2",".",".","."
"Prof Yr 3","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"Professionals","","2","3.000",".",".","100.0",".",".",".",".","",".","",".",".","",".",".",".",".",".","."
"","Dept. Total","1598","3.430","35.5","30.0","24.5","6.8","2.3","0.3","0.1","",".","",".",".","",".","0.3","0.3",".",".","."
