"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","63","3.579","34.9","47.6","15.9","1.6",".",".",".",".",".",".",".",".",".",".",".","."
"","002
101","76","3.073","15.8","25.0","36.8","10.5","6.6","2.6","1.3","1.3",".",".",".",".",".",".",".","."
"","101
003","82","3.598","48.8","35.4","9.8","3.7","1.2",".","1.2",".",".",".",".",".",".",".",".","."
"","004
101","77","3.013","14.3","24.7","32.5","16.9","6.5","5.2",".",".",".",".",".",".",".",".",".","."
"","101
005","79","3.297","25.3","30.4","35.4","3.8","2.5","1.3","1.3",".",".",".",".",".",".",".",".","."
"","006
101","77","3.059","14.3","26.0","28.6","22.1","5.2","2.6",".","1.3",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","454","3.265","25.6","31.1","26.7","9.9","3.7","2.0","0.7","0.4",".",".",".",".",".",".",".","."
"","104
001","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","20","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics:Philos-Freshmen","Course Total","41","3.841","78.0","12.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","75","3.040","20.0","18.7","28.0","16.0","17.3",".",".",".",".",".",".",".",".",".",".","."
"","210
002","62","3.315","45.2","17.7","12.9","12.9","8.1","1.6","1.6",".",".",".",".",".",".",".",".","."
"","210
003","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reason in Communication","Course Total","157","3.264","38.9","17.2","18.5","12.7","11.5","0.6","0.6",".",".",".",".",".",".",".",".","."
"","211
001","76","3.039","38.2","17.1","13.2","11.8","6.6","9.2","3.9",".",".",".",".",".",".",".",".","."
"","211
002","70","3.443","38.6","30.0","24.3","1.4","4.3",".","1.4",".",".",".",".",".",".",".",".","."
"","003
211","75","3.200","40.0","20.0","14.7","9.3","8.0","6.7","1.3",".",".",".",".",".",".",".",".","."
"Elementary Logic","Course Total","221","3.222","38.9","22.2","17.2","7.7","6.3","5.4","2.3",".",".",".",".",".",".",".",".","."
"","241
001","74","3.160","28.4","13.5","31.1","14.9","8.1",".","1.4","1.4",".",".",".",".",".",".","1.4","."
"","241
002","22","3.795","72.7","13.6","13.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","241
003","80","3.506","23.8","56.3","17.5","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","241
004","77","3.429","48.1","23.4","15.6","5.2","3.9","1.3","2.6",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","253","3.408","36.8","30.0","20.6","6.7","3.6","0.4","1.2","0.4",".",".",".",".",".",".","0.4","."
"","341
001","83","3.613","63.9","13.3","9.6","6.0","1.2",".","2.4","1.2",".",".",".",".",".","1.2","1.2","."
"","341
002","79","3.282","22.8","34.2","25.3","8.9","7.6",".",".",".",".",".",".",".",".",".","1.3","."
"","003
341","75","3.277","22.7","29.3","32.0","9.3","5.3",".",".","1.3",".",".",".",".",".",".",".","."
"","341
091","21","3.786","66.7","23.8","9.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","20","3.400","30.0","40.0","15.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","341
093","21","3.571","33.3","52.4","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","299","3.435","38.5","28.1","19.7","7.4","4.0",".","0.7","0.7",".",".",".",".",".","0.3","0.7","."
"Hist of Ancient Philosophy","430
001","59","3.404","37.3","25.4","20.3","8.5","3.4","1.7",".",".",".",".",".",".",".","1.7",".","1.7"
"History-Modern Philosophy","432
001","76","3.368","30.3","36.8","15.8","3.9","5.3","1.3","1.3",".",".",".",".",".","5.3",".",".","."
"19th Century Philosophers","433
001","16","3.000","12.5","31.3","25.0","18.8","6.3","6.3",".",".",".",".",".",".",".",".",".","."
"Recent Philosophy","455
001","19","3.188","21.1","36.8","5.3","15.8",".",".","5.3",".",".",".",".",".","15.8",".",".","."
"Classical Philosophers","464
001","22","3.050","22.7","27.3","22.7","9.1",".",".","9.1","4.5",".",".",".",".","4.5",".",".","."
"Junior Honors Seminar","481
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior Honors Seminar","482
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","23","3.000","30.4","4.3","21.7","21.7","21.7",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","19","3.556","42.1","31.6","15.8",".","5.3",".",".","5.3",".",".",".",".",".",".",".","."
"Philos of Natural Sciences","520
001","20","3.316","35.0","20.0","15.0","20.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Modern Ethical Theories","541
001","24","3.957","91.7",".","4.2",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Philos of Moral Education","550
001","15","3.767","53.3","46.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Philosophy of Mind","551
001","39","3.184","25.6","28.2","28.2","2.6","7.7","2.6","2.6",".",".",".",".",".",".",".",".","2.6"
