"ART DEPARTMENT","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","","","",""
"","448","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","448","005","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","448","007","","13","4.000","92.3",".",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","448","008","","16","3.719","68.8","18.8",".","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","","65","3.854","80.0","6.2","3.1","3.1","1.5",".",".",".",".",".",".",".","6.2",".",".","."
"Intmed Paint: New Figuration I","452","001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Visual Comm & Research","458","001","","11","3.000","9.1","27.3","36.4","9.1","18.2",".",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","469","001","","10","3.867","80.0",".","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Intermediate Photography","476","001","","9","3.000","33.3","11.1","22.2","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"Advanced Relief Printmaking","506","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium in Art","508","001","","162","3.822","79.6","8.0","9.3","1.2",".",".","0.6","0.6",".",".",".",".",".",".",".","0.6"
"","512","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","512","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing I","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"Advanced Sculpture I","514","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Lithography","516","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Artist's Video","518","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Painting I","522","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Ceramics I","524","002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Etching/Intaglio","526","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3D Digital Studio II","529","001","","8","2.750","50.0",".","25.0",".",".",".","25.0",".",".",".",".",".",".",".",".","."
"","532","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Life Drawing I","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Advanced Wood Working","534","001","","9","4.000","66.7",".",".",".",".",".",".",".",".",".",".",".","33.3",".",".","."
"Advanced Serigraphy","536","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Typography&Graphic Dsgn","546","001","","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Painting:New Figuration II","552","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Glassworking","554","001","","12","3.458","25.0","41.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Graphic Design Technlgy","556","001","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Photography","576","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Drawing II","612","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Sculpture II","614","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Artists' Video","618","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","622","001","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","622","002","","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Undergrad Painting Workshp","","Course Total","","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Ceramics II","624","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"3D Digital Studio III","629","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Paintng:New Figuration III","652","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","","Page 72 of 410"
