"COMPARATIVE BIOSCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","",""
"500
Fund Principles-Vet Anatomy","001","","80","3.644","63.8","10.0","18.8","6.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"501
Veterinary Histology","001","","80","3.344","22.5","36.3","31.3","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"503
Veterinary Develomntl Anat","001","","80","3.613","57.5","13.8","23.8","3.8","1.3",".",".",".",".",".",".",".",".",".",".","."
"551
Veterinary Physiology A","001","","80","3.394","32.5","28.8","27.5","7.5","3.8",".",".",".",".",".",".",".",".",".",".","."
"699","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","13","3.955","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"775","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"775","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"775","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"775","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Externship","Course Total","","21","",".",".",".",".",".",".",".","95.2",".",".",".",".",".",".","4.8","."
