"Intro to Biostats for Pop Hlth","551
001","5","***","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Introduction to Bioinformatics","576
001","7","4.000","85.7",".",".",".",".",".","",".","14.3",".","",".",".","",".","",".","",".",".","."
"Independent Study","699
001","6","4.000","100.0",".",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".","."
"Computn&Informatcs in Biol&Med","915
001","9","4.000","22.2",".",".",".",".",".","",".","77.8",".","",".",".","",".","",".","",".",".","."
"B M I
210","Dept. Total","112","3.436","39.3","20.5","26.8","1.8","0.9","",".","1.8","7.1","",".",".","",".","",".","",".",".","1.8","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"210
B M I","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","2","3.250",".","50.0","50.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","4","3.500","25.0","50.0","25.0",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","6","3.417","16.7","50.0","33.3",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Special","","17","3.192","29.4","11.8","23.5","5.9",".","",".","5.9","11.8","",".",".","",".","",".","",".",".","11.8","."
"Graduate","","50","3.504","46.0","22.0","16.0",".","2.0","",".","2.0","12.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","1","3.500",".","100.0",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","3","3.667","33.3","66.7",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","1","4.000","100.0",".",".",".",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","34","3.415","38.2","11.8","47.1","2.9",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","39","3.452","38.5","17.9","41.0","2.6",".","",".",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","112","3.436","39.3","20.5","26.8","1.8","0.9","",".","1.8","7.1","",".",".","",".","",".","",".",".","1.8","."
