"NEUROSCIENCE TRAINING PRO Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"682
NEUROSCI","","","","","","","","","","","","","","","","","","","",""
"500
Undergrad Neurobiology Seminar","001","","35","3.956","91.4","2.9","2.9",".",".",".",".","2.9",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","102","3.711","59.8","27.5","9.8","1.0","2.0",".",".",".",".",".",".",".",".",".",".","."
"555
Lab-Developmental Biology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"610
Cellular&Molecular Neurosci","001","","23","2.935","21.7","21.7","17.4","17.4","13.0","8.7",".",".",".",".",".",".",".",".",".","."
"625
Brain Cell Cultres&Imagng:Lab","001","","12","3.542","16.7","75.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Neuroscience & Public Policy","001","","9","3.708","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","020","","30","3.833","73.3","20.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","026","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","50","3.813","74.0","16.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"691","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduate Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"699","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","20","3.814","80.0",".",".",".","10.0",".",".",".",".",".",".",".","5.0",".","5.0","."
"699","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","055","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","069","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","091","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","097","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study in Research","Course Total","","110","3.965","94.5",".","0.9",".","1.8",".",".",".",".",".",".",".","0.9","0.9","0.9","."
