"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","170
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
002","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","170
003","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
004","14","3.714","92.9",".",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","170
005","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
006","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","170
007","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Laboratory","Course Total","92","3.908","96.7","1.1",".",".",".",".","2.2",".",".",".",".",".",".",".",".","."
"Electrodynamics I","220
001","71","2.373","11.3","11.3","16.9","21.1","18.3","12.7","8.5",".",".",".",".",".",".",".",".","."
"Circuit Analysis","230
001","80","2.600","13.8","21.3","15.0","16.3","17.5","10.0","6.3",".",".",".",".",".",".",".",".","."
"Intro-Solid State Electronics","235
001","35","2.729","11.4","8.6","22.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".","."
"","252
001","41","3.012","17.1","19.5","41.5","2.4","14.6","4.9",".",".",".",".",".",".",".",".",".","."
"","252
002","86","3.429","47.7","24.4","12.8","4.7","4.7","3.5","1.2",".",".",".",".",".","1.2",".",".","."
"Intro to Computer Engineering","Course Total","127","3.294","37.8","22.8","22.0","3.9","7.9","3.9","0.8",".",".",".",".",".","0.8",".",".","."
"","270
001","30","3.783","70.0","20.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"","270
002","30","3.717","73.3","10.0","13.3",".",".","3.3",".",".",".",".",".",".",".",".",".","."
"Circuits Laboratory I","Course Total","60","3.750","71.7","15.0","10.0","1.7",".","1.7",".",".",".",".",".",".",".",".",".","."
"","271
001","19","3.789","68.4","21.1","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
002","18","3.667","72.2","22.2",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Circuits Laboratory II","Course Total","37","3.730","70.3","21.6","5.4",".",".",".","2.7",".",".",".",".",".",".",".",".","."
"","305
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Semiconductr Properties Lab","Course Total","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Linear Active Circuits Lab","306
001","6","3.417","66.7","16.7",".",".",".","16.7",".",".",".",".",".",".",".",".",".","."
"Nonlinear Elec Circuits Lab","308
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","313
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","313
002","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Optoelectronics Lab","Course Total","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
001","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","315
002","11","3.545","27.3","63.6",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Microprocessor Lab","Course Total","20","3.700","50.0","45.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Electrodynamics II","320
001","41","3.195","39.0","14.6","22.0",".","22.0","2.4",".",".",".",".",".",".",".",".",".","."
"Transmission Lines-Digitl Appl","321
001","14","3.429","57.1","14.3",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","71","3.355","35.2","18.3","29.6","8.5","5.6",".",".","1.4",".",".",".",".",".",".","1.4","."
"Intro-Random Sig Anal&Stats","331
001","26","3.115","26.9","15.4","30.8","15.4","7.7","3.8",".",".",".",".",".",".",".",".",".","."
"Feedback Control Systems","332
001","28","2.630","7.1","28.6","10.7","21.4","14.3","10.7","3.6",".",".",".",".",".","3.6",".",".","."
"Microelectronic Devices","335
001","27","3.037","37.0",".","7.4","44.4","11.1",".",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","340
001","61","2.885","23.0","8.2","24.6","18.0","23.0","3.3",".",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","37","3.351","56.8",".","27.0",".","13.5",".","2.7",".",".",".",".",".",".",".",".","."
"","352
001","22","2.932","22.7","9.1","27.3","13.6","27.3",".",".",".",".",".",".",".",".",".",".","."
"","352
002","47","3.053","19.1","23.4","27.7","12.8","14.9","2.1",".",".",".",".",".",".",".",".",".","."
"Digital System Fundamentals","Course Total","69","3.014","20.3","18.8","27.5","13.0","18.8","1.4",".",".",".",".",".",".",".",".",".","."
