"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"BUS","","","","","","","","","","","","","","","","","","",""
"OPERATIONS & TECHNOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"238
OTM","","","","","","","","","","","","","","","","","","",""
"","300
001","121","3.223","28.1","26.4","24.8","9.9","7.4","3.3",".",".",".",".",".",".",".",".",".","."
"","002
300","120","3.221","24.2","25.0","30.0","14.2","5.8","0.8",".",".",".",".",".",".",".",".",".","."
"","300
003","120","3.317","29.2","30.8","25.8","5.8","6.7","1.7",".",".",".",".",".",".",".",".",".","."
"Operations Management","Course Total","361","3.253","27.1","27.4","26.9","10.0","6.6","1.9",".",".",".",".",".",".",".",".",".","."
"","365
002","32","3.550","34.4","43.8","9.4","3.1","3.1",".",".","3.1",".",".",".",".","3.1",".",".","."
"","365
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","365
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","36","3.588","38.9","41.7","8.3","2.8","2.8",".",".","2.8",".",".",".",".","2.8",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","399
106","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","410
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","421
001","8","3.500","50.0","12.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","422
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Database Mngmnt & Applications","442
001","12","3.500","41.7","50.0",".",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","444
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","632
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Logistics Analysis","640
001","20","3.525","40.0","30.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"E-Bus:Technol, Strategy & Appl","671
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Operations Research I","710
001","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","722
001","25","3.740","60.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732
001","28","3.571","46.4","25.0","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","732
031","38","3.526","36.8","31.6","31.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","Course Total","66","3.545","40.9","28.8","28.8","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"Economics of Transportation","744
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Manage Tech & Organztnl Change","758
001","24","3.750","54.2","41.7","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","765
031","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","44","3.893","93.2","4.5","2.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Qual & Productivity Improvemnt","770
001","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg&Rsch-Operatns&Info Mgmt","799
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Operatns&Inf Mgt","Course Total","2","***","","","","","","","","","","","","","","","",""
"Read&Rsch-Oper&Info Mgt PhD","999
139","1","***","","","","","","","","","",".",".",".",".",".",".","."
