"Leadership Lab 3A","310
001","12","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Leadership and Management","401
001","17","3.794","82.4",".","11.8","5.9",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Leadership Lab 4A","410
001","13","4.000","100.0",".",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"American Military History","491
001","8","3.875","87.5",".","12.5",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"MIL SCI
644","Dept. Total","213","3.889","89.2","7.0","2.8","0.5","0.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"644
MIL SCI","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","69","3.875","85.5","13.0","1.4",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","70","3.923","91.4","5.7","2.9",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","33","3.959","93.9","6.1",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","32","3.898","93.8",".","3.1","3.1",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","204","3.910","90.2","7.4","2.0","0.5",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Special","","9","3.529","66.7",".","22.2",".","11.1","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","213","3.889","89.2","7.0","2.8","0.5","0.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
