"NUTRITIONAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"132","001","","424","2.905","17.2","18.6","23.3","17.2","19.1","2.4","1.2",".",".",".",".",".","0.5","0.5",".","."
"132","002","","440","2.850","14.3","15.5","25.2","20.2","22.3","1.6","0.5","0.2",".",".",".",".","0.2",".",".","."
"132","003","","159","2.803","18.9","6.9","23.9","22.0","23.9","2.5","0.6","1.3",".",".",".",".",".",".",".","."
"Nutrition Today","Course Total","1023","","2.866","16.2","15.4","24.2","19.3","21.2","2.1","0.8","0.3",".",".",".",".","0.3","0.2",".","."
"200
Prof-Dietetics & Nutrition","001","","73","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"332
Human Nutritional Needs","001","","96","3.146","25.0","28.1","18.8","17.7","6.3","3.1","1.0",".",".",".",".",".",".",".",".","."
"375","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"375","002","","167","3.506","38.9","28.1","29.9","1.2","1.8",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","180","3.521","43.3","26.1","27.8","1.1","1.7",".",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Capstone Seminar Lab","001","","34","3.735","76.5",".","20.6",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"510
Biochm Prin-Human&Anml Nutr","001","","32","3.406","43.8","28.1","12.5","3.1","9.4","3.1",".",".",".",".",".",".",".",".",".","."
"520
Applications-Clin Nutrition","001","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Intro Seminar in Nutrition","001","","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"626
Experimental Diet Design","001","","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"631
Clinical Nutrition","001","","55","3.292","25.5","29.1","29.1","5.5","5.5","1.8",".","3.6",".",".",".",".",".",".",".","."
"635
Advanced Clinical Nutrition","001","","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Nutri Sciences Tchg","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875
Special Topics","002","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"931
Seminar-Nutrition","001","","25","3.000",".",".","4.0",".",".",".",".","92.0",".",".",".",".","4.0",".",".","."
"991","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","008","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"991","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"991","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
