"THEATRE AND DRAMA","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"942
THEATRE","","","","","","","","","","","","","","","","","","","",""
"Stage Lighting I","Course Total","","18","3.869","88.9",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"368
Fundamentals of Directing","001","","19","3.800","52.6","21.1","5.3",".",".",".",".","5.3",".",".",".",".","15.8",".",".","."
"370
Drafting for the Theatre","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"371
Sound for Theatre","001","","14","3.927","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"372
Set Design I","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"379
Intro to Stage Management","001","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Acting Styles","001","","16","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"469","001","","13","3.609","76.9",".",".","15.4","7.7",".",".",".",".",".",".",".",".",".",".","."
"469","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"469","003","","14","3.298","57.1","7.1","7.1","21.4",".","7.1",".",".",".",".",".",".",".",".",".","."
"Interdis Studies in the Arts","Course Total","","31","3.514","71.0","3.2","3.2","16.1","3.2","3.2",".",".",".",".",".",".",".",".",".","."
"523
Postcolonial Theatre","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"538
Brit Drama, 1914 to Present","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"561
Backstage Laboratory III","001","","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"563
Costume Design II","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"619","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"619","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"619","004","","9","3.500","11.1","55.6","11.1",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"Specl Topics-Theatre&Drama","Course Total","","16","3.500","25.0","37.5","25.0",".",".",".",".","6.3",".",".",".",".","6.3",".",".","."
"661","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"661","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"661","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Production Practicum","Course Total","","5","***","","","","","","","","","","","","","","","",""
"698
Directed Study","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Prosem: Intro Rsch-Theatre","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"740
Voice Training","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"742
Graduate Stage Movement","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Graduate Acting","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"763
Costume Design III","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"911
Smr-Probs in Theatre&Drama","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"972
Smr: Adv Probs-Stage Design","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 319 of 410",""
