"SPANISH (SPANISH AND PORTU Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"912
SPANISH","","","","","","","","","","","","","","","","","","","",""
"414
Lit de la Edad Med Castellana","001","","15","3.429","26.7","40.0","20.0",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"435
Cervantes","001","","20","3.450","45.0","25.0","15.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"453
Lit-Twentieth Century","001","","15","3.233","26.7","33.3","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"460
Literatura Hispanoamericana","001","","22","3.353","40.9","22.7","18.2",".","18.2",".",".",".",".",".",".",".",".",".",".","."
"462
Spanish Am Theater & Drama","001","","19","3.500","52.6","26.3","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"464
Spanish Amer Poetry & Essay","001","","17","3.706","76.5","11.8",".",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"468","001","","19","3.766","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"468","002","","10","3.400","40.0","30.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in Hispanic Culture","Course Total","","29","3.647","51.7","34.5","6.9","3.4","3.4",".",".",".",".",".",".",".",".",".",".","."
"476
Study Abroad-Hispanic Cultures","000A","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"501
Surv-Span Am Lit:Disc-Modrn","001","","24","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
College Teaching of Spanish","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"627
Historia-Teoria Literaria","001","","15","3.700","53.3","33.3","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"681
Senior Honors Thesis","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Textual Criticism","001","","20","3.947","85.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0",".",".","."
"802
Smr-Spanish American Lit","001","","12","3.625","58.3","8.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Lang Smr: Modern Spanish","001","","11","3.950","81.8","9.1",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"817
Romance Philology","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"842
Seminar-Medieval Literature","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"861
Seminar-Modern Spanish Lit","001","","14","3.864","64.3","7.1","7.1",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"882
Seminar in Hispanic Culture","001","","11","3.900","72.7","18.2",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"899
Independent Reading","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","034","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","Page 313 of 410",""
