"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","38","3.842","76.3","15.8","7.9",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Indians of North America","314
001","101","2.525","10.9","11.9","19.8","17.8","23.8","10.9","3.0","1.0",".","",".",".","",".","",".",".",".","1.0"
"Archaeology of Wisconsin","354
001","25","3.542","36.0","36.0","20.0","4.0",".",".",".",".",".","",".",".","",".","",".","4.0",".","."
"American Indian Women","437
001","10","3.100","40.0","20.0","20.0",".","10.0",".","10.0",".",".","",".",".","",".","",".",".",".","."
"","450
006","19","3.972","89.5","5.3",".",".",".",".",".",".",".","",".",".","",".","","5.3",".",".","."
"","450
012","13","4.000","92.3",".",".",".",".",".",".","7.7",".","",".",".","",".","",".",".",".","."
"","450
015","19","3.763","68.4","26.3",".",".","5.3",".",".",".",".","",".",".","",".","",".",".",".","."
"","450
016","35","3.324","17.1","48.6","22.9","2.9","2.9","2.9",".",".",".","",".",".","",".","","2.9",".",".","."
"Issues in Amer Ind Studies","Course Total","86","3.663","55.8","26.7","9.3","1.2","2.3","1.2",".","1.2","",".",".","",".","",".","2.3",".",".","."
"Ethnobotany","474
001","9","3.667","55.6","22.2","22.2",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"AMER IND
140","Dept. Total","269","3.228","39.4","20.1","14.9","7.4","10.0","4.5","1.5","0.7","",".",".","",".","",".","0.7","0.4",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","40","3.863","82.5","7.5","10.0",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","77","3.240","40.3","18.2","13.0","10.4","11.7","2.6","1.3",".","",".",".","",".","",".","1.3",".",".","1.3"
"Junior","","61","2.828","13.1","32.8","19.7","8.2","14.8","6.6","4.9",".","",".",".","",".","",".",".",".",".","."
"Senior","","88","3.207","38.6","19.3","15.9","8.0","10.2","6.8",".",".","",".",".","",".","",".",".","1.1",".","."
"Undergraduates","","266","3.228","39.8","20.3","15.0","7.5","10.2","4.5","1.5",".","",".",".","",".","",".","0.4","0.4",".","0.4"
"Special","","2","",".",".",".",".",".",".",".","100.0","",".",".","",".","",".",".",".",".","."
"Graduate","","1","",".",".",".",".",".",".",".",".","",".",".","",".","",".","100.0",".",".","."
"","Dept. Total","269","3.228","39.4","20.1","14.9","7.4","10.0","4.5","1.5","0.7","",".",".","",".","",".","0.7","0.4",".","0.4"
