"","775
002","5","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
003","4","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"","775
004","1","***","","","","","","","","","","","",".",".",".","",".","",".",".","."
"Externship","Course Total","21","",".",".",".",".",".","",".","",".","95.2",".",".",".","",".","",".",".","4.8","."
"COMP BIO
934","Dept. Total","354","3.495","43.2","20.3","22.9","5.6","2.0","",".","",".","5.6",".",".",".","",".","",".",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","CR","N","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"934
COMP BIO","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","3.500",".","100.0",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Junior","","4","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Senior","","8","4.000","100.0",".",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Undergraduates","","13","3.955","92.3","7.7",".",".",".","",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 1","","320","3.484","44.1","22.2","25.3","6.3","2.2","",".","",".",".",".",".",".","",".","",".",".",".","."
"Prof Yr 4","","21","",".",".",".",".",".","",".","",".","95.2",".",".",".","",".","",".",".","4.8","."
"Professionals","","341","3.484","41.3","20.8","23.8","5.9","2.1","",".","",".","5.9",".",".",".","",".","",".",".","0.3","."
"","Dept. Total","354","3.495","43.2","20.3","22.9","5.6","2.0","",".","",".","5.6",".",".",".","",".","",".",".","0.3","."
