"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","14","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","250","001","","22","2.864","9.1","9.1","45.5","18.2","18.2",".",".",".",".",".",".",".",".",".",".","."
"","250","002","","32","2.906","25.0","15.6","18.8","15.6","15.6","9.4",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","","Course Total","","54","2.889","18.5","13.0","29.6","16.7","16.7","5.6",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","46","3.217","21.7","26.1","30.4","17.4","4.3",".",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","50","2.949","22.0","14.0","20.0","20.0","20.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"Thermodynamics of Mixtures","311","001","","48","2.938","16.7","12.5","35.4","12.5","22.9",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","72","3.035","22.2","16.7","34.7","9.7","13.9",".","2.8",".",".",".",".",".",".",".",".","."
"","324","001","","13","3.385","23.1","46.2","15.4","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","12","3.417","33.3","25.0","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","12","3.417","25.0","41.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","11","3.545","27.3","54.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","48","3.438","27.1","41.7","22.9","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","49","2.918","16.3","14.3","32.7","14.3","20.4","2.0",".",".",".",".",".",".",".",".",".","."
"Undergrad Rheology Seminar","425","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","57","2.912","17.5","8.8","35.1","19.3","17.5","1.8",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","52","3.019","21.2","13.5","36.5","13.5","11.5","3.8",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","50","2.755","14.0","14.0","14.0","26.0","28.0","2.0",".",".",".",".",".",".","2.0",".",".","."
"Process Design","450","001","","36","3.403","22.2","41.7","30.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","32","2.984","18.8","18.8","31.3","9.4","18.8","3.1",".",".",".",".",".",".",".",".",".","."
"","489","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","489","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Tissue Engineering","510","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","9","",".",".",".",".",".",".",".",".",".","88.9","11.1",".",".",".",".","."
"Macromolecular Hydrodynamics","525","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","32","3.032","34.4","12.5","15.6","12.5","15.6","3.1","3.1",".",".",".",".",".",".",".","3.1","."
"Seminar-Chem Engr Connections","555","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","18","3.361","27.8","38.9","27.8",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","562","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","562","002","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","11","3.045",".","45.5","27.3","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","599","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","Page 109 of 410",""
