"","ED LEADERSHP & POLICY ANAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"305
ELPA","","","","","","","","","","","","","","","","","","","","",""
"Peer Ldrshp&Mntrshp-Trans Stdt","350","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Wkshp-Ed Leadership & Pol Anal","502","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","700","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Field Experience-Ed Admin","","Course Total","","9","4.000","33.3",".",".",".",".",".",".",".",".",".",".",".","66.7",".",".","."
"Intro-Higher & Post-Sec Ed","701","001","","23","4.000","91.3",".",".",".",".",".",".",".",".",".",".",".","8.7",".",".","."
"Eval & Support Quality Teachng","703","001","","9","3.938","77.8","11.1",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"Govern&Admin-Coll&Universty","715","001","","19","3.806","57.9","36.8",".",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Intro to Qualitative Research","719","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Meth & Proc-Ed Admin","725","001","","16","3.833","68.8","18.8","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Admin Stdt Serv-Higher Educ","736","001","","24","4.000","95.8",".",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Adult Learner:Implictn for C&I","746","001","","10","3.500","50.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"Sch-Com Rel:Commun,Mrkt,Pol","770","001","","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","788","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","788","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Qual Rsch Mthds-Educ: Field I","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"Economics of Education","795","001","","6","3.500","33.3","16.7","33.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Fld Rsch Dsgn&Meth-Ed Admin","824","001","","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Financng Elem&Secondry Educ","830","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Leg Aspct-Spec Ed&Pupl Serv","842","001","","11","4.000","90.9",".",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"The School Superintendency","846","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Pro Devel&Orgniztn Learning","848","001","","24","3.977","87.5","4.2",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Org Theory&Behavior in Educ","860","002","","18","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"The Politics of Education","870","001","","18","3.882","77.8","11.1","5.6",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Appl Rsch in Ed Admin","890","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","940","001","","15","3.964","86.7","6.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","940","003","","11","4.000","90.9",".",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","940","006","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"","940","007","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","940","008","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics Seminar-Educ Leadership","","Course Total","","62","3.983","91.9","3.2",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"","990","003","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","012","","10","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","014","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","020","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","032","","32","",".",".",".",".",".",".",".","62.5",".",".",".",".","18.8",".","18.8","."
"","990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","11","",".",".",".",".",".",".",".","63.6",".",".",".","36.4",".",".",".","."
"","990","040","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","042","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","043","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","048","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"February 03, 2012","","","","","","","","","","","","","","","","","","","","","Page 89 of 410"
