"","990
091","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
095","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","53","",".",".",".",".",".",".",".","86.8",".",".",".","13.2",".",".",".","."
"MICROBIO
192","Dept. Total","1475","3.111","34.0","14.5","24.0","8.3","11.6","3.0","0.4","3.3",".",".",".","0.7","0.2",".","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"192
MICROBIO","","","","","","","","","","","","","","","","","","",""
"Freshmen","","7","2.421","14.3",".","42.9",".","28.6","14.3",".",".",".",".",".",".",".",".",".","."
"Sophomore","","115","2.731","24.3","13.9","19.1","7.8","21.7","12.2","0.9",".",".",".",".",".",".",".",".","."
"Junior","","399","2.894","26.3","13.0","27.1","10.3","18.0","4.8","0.3",".",".",".",".",".","0.3",".",".","."
"Senior","","665","3.212","35.3","16.8","26.8","9.2","9.3","1.4","0.5",".",".",".",".","0.5","0.3",".",".","."
"Undergraduates","","1186","3.050","31.1","15.2","26.2","9.4","13.6","3.6","0.4",".",".",".",".","0.3","0.3",".",".","."
"Special","","37","3.204","37.8","13.5","21.6","13.5","8.1","2.7",".",".",".",".",".",".",".",".","2.7","."
"Graduate","","250","3.493","46.8","11.6","14.0","2.8","2.8",".","0.4","19.2",".",".",".","2.4",".",".",".","."
"Prof Yr 1","","1","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Yr 4","","1","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"Professionals","","2","4.000","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"","Dept. Total","1475","3.111","34.0","14.5","24.0","8.3","11.6","3.0","0.4","3.3",".",".",".","0.7","0.2",".","0.1","."
