"CONSUMER SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"271
CNSR SCI","","","","","","","","","","","","","","","","","","","",""
"Retail Leadership Symposium","250","001","134","3.831","85.1","4.5","6.0","0.7","1.5","1.5",".","0.7",".",".",".",".",".",".",".","."
"","275","001","71","3.056","16.9","22.5","31.0","16.9","11.3","1.4",".",".",".",".",".",".",".",".",".","."
"","275","002","87","3.616","48.3","32.2","12.6","4.6","1.1",".",".","1.1",".",".",".",".",".",".",".","."
"Consumer Finance","","Course Total","158","3.363","34.2","27.8","20.9","10.1","5.7","0.6",".","0.6",".",".",".",".",".",".",".","."
"Mediatn:Serving Consumr Int","350","001","63","3.944","90.5","7.9","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Retailing Theory & Practice","357","001","39","3.808","64.1","33.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Socially Just Consumption","360","001","32","2.922","9.4","18.8","40.6","21.9","3.1","6.3",".",".",".",".",".",".",".",".",".","."
"Comp Applicatns-Retailing","370","001","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Family Economics","475","001","23","2.739","17.4","21.7","13.0","21.7","13.0","8.7","4.3",".",".",".",".",".",".",".",".","."
"The Consumer and the Market","477","001","62","3.565","41.9","41.9","11.3","3.2",".",".","1.6",".",".",".",".",".",".",".",".","."
"","501","008","27","3.907","88.9","3.7","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501","075","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","31","3.905","87.1","6.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","532","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","532","002","22","3.205","31.8","9.1","36.4","13.6","9.1",".",".",".",".",".",".",".",".",".",".","."
"Hlth Care Iss:Ind, Fam, Soc","","Course Total","24","3.229","29.2","16.7","33.3","12.5","8.3",".",".",".",".",".",".",".",".",".",".","."
"Direct Retailing","561","002","47","3.245","12.8","51.1","14.9","19.1",".","2.1",".",".",".",".",".",".",".",".",".","."
"Seminar in Consumer Science","565","001","21","3.500","42.9","28.6","19.0","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Consumer Science Internship","601","015","9","3.841","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Experience-Retailing","602","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Retailing Internship","603","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Consumer Finance","627","001","26","3.231","23.1","26.9","30.8","11.5","7.7",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","657","001","54","3.491","31.5","37.0","29.6","1.9",".",".",".",".",".",".",".",".",".",".",".","."
"Household Risk Management","665","001","24","3.000","20.8","16.7","25.0","16.7","20.8",".",".",".",".",".",".",".",".",".",".","."
"Grad Spec Topics-Consumer Sci","901","001","7","3.500","28.6","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar: Consumer Research","960","001","13","3.667","69.2","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","990","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","076","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","077","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Independent Study","999","024","1","***","","","","","","","","","",".",".",".",".",".",".","."
