"ART HISTORY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"180
ART HIST","","","","","","","","","","","","","","","","","","","",""
"Ancient and Medieval Art","201","001","115","3.184","28.7","19.1","21.7","8.7","7.8","0.9","2.6",".","0.9",".",".",".",".",".","9.6","."
"Renaissance to Modern Art","202","001","216","3.394","32.4","30.6","13.0","5.6","2.3","1.4","1.9","1.4",".",".",".",".","1.9",".","9.7","."
"Intro-Africn Art&Architectr","241","001","50","3.625","46.0","24.0","4.0",".","4.0","2.0",".","2.0",".",".",".",".",".","18.0",".","."
"Art&Archaeology-Ancient Greece","300","001","29","3.056","24.1","20.7","20.7","10.3","13.8",".","3.4","6.9",".",".",".",".",".",".",".","."
"Chinese Art:10th C. to Present","308","001","42","3.000","16.7","16.7","33.3","7.1","7.1","7.1",".","4.8",".",".",".",".",".",".","7.1","."
"Italian Art: 1250-1400","321","001","26","2.405","7.7","11.5","15.4","15.4","15.4","7.7","7.7","15.4",".",".",".",".",".","3.8",".","."
"Netherlandish Painting-15c","331","001","22","3.233","22.7","9.1","27.3","4.5",".","4.5",".","31.8",".",".",".",".",".",".",".","."
"Bosch & Holbein to Bruegel","332","001","19","3.929","63.2","10.5",".",".",".",".",".","26.3",".",".",".",".",".",".",".","."
"20th Century Art in Europe","351","001","38","3.333","21.1","36.8","15.8","10.5",".","2.6",".","13.2",".",".",".",".",".",".",".","."
"History of Photography","355","001","35","3.586","34.3","34.3","11.4",".","2.9",".",".","17.1",".",".",".",".",".",".",".","."
"Arts of Japan","372","001","39","3.436","30.8","30.8","35.9",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Cities of Asia","379","001","32","2.893","9.4","28.1","21.9","15.6","6.3",".","6.3","12.5",".",".",".",".",".",".",".","."
"Topics in Visual Culture","430","001","12","3.450","16.7","50.0","8.3","8.3",".",".",".",".",".",".",".",".",".",".","16.7","."
"Topics in Theory","431","001","18","3.556","61.1","22.2","11.1",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"Topics-Amer Material Culture","463","001","27","3.519","25.9","48.1","22.2",".",".",".",".",".",".",".",".",".","3.7",".",".","."
"Dimensions of Material Culture","464","001","18","3.344","27.8","33.3","16.7","5.6",".","5.6",".","11.1",".",".",".",".",".",".",".","."
"Art and History in Africa","479","001","18","3.250","11.1","33.3","33.3","11.1",".",".",".","5.6",".",".",".",".",".",".","5.6","."
"Prosem:Spec Topics-Art Hist","500","002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"20th Cent European Art","556","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Material Culture","563","001","10","3.700","70.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Proseminar in Chinese Art","576","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in African Art","579","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","681","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691","029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","692","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum in Art History","701","001","9","3.611","33.3","55.6","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","799","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Spec Topics-Art History","800","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist,Thry &Meth in Visual Cult","801","001","14","3.962","85.7","7.1",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"Smr-Ancient Art&Architectr","805","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-American Art","865","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
