"","990
079","2","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
080","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"","990
081","1","***","","","","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","94","",".",".",".",".","",".","",".","",".","38.3",".",".",".","61.7",".",".",".","."
"MED PHYS
621","Dept. Total","256","3.747","41.0","12.5","5.1","1.2","",".","",".","",".","14.8",".",".",".","22.7","1.6",".","1.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Junior","","4","4.000","100.0",".",".",".","",".","",".","",".",".",".",".",".",".",".",".",".","."
"Senior","","13","3.721","53.8","23.1","15.4",".","",".","",".","",".",".",".",".",".","7.7",".",".",".","."
"Undergraduates","","18","3.793","66.7","16.7","11.1",".","",".","",".","",".",".",".",".",".","5.6",".",".",".","."
"Special","","9","3.429","11.1","44.4","22.2",".","",".","",".","",".","22.2",".",".",".",".",".",".",".","."
"Graduate","","227","3.761","40.5","11.0","4.0","1.3","",".","",".","",".","15.4",".",".",".","24.7","1.8",".","1.3","."
"Prof Yr 4","","2","",".",".",".",".","",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"Professionals","","2","",".",".",".",".","",".","",".","",".","50.0",".",".",".","50.0",".",".",".","."
"","Dept. Total","256","3.747","41.0","12.5","5.1","1.2","",".","",".","",".","14.8",".",".",".","22.7","1.6",".","1.2","."
