"POLITICAL SCIENCE","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"778
POLI SCI","","","","","","","","","","","","","","","","","","","",""
"","100","001","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","002","20","3.350","20.0","45.0","20.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"Freshman Topics Seminar","","Course Total","39","3.577","43.6","35.9","12.8","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Internatl Relations","103","001","402","2.845","17.4","19.4","20.4","17.2","15.7","7.2","1.2",".",".",".",".",".","0.2","1.0","0.2","."
"Intro-Amer Politcs&Governmt","104","001","422","2.959","13.0","14.7","35.1","28.4","6.4","1.2","0.5","0.5",".",".",".",".","0.2",".",".","."
"Intro-Comparative Politics","106","001","250","2.866","11.6","23.2","28.4","14.4","14.0","5.2","1.6","0.8","0.4",".",".",".",".","0.4",".","."
"Intro to American Politics","184","001","20","3.475","35.0","35.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to State Government","205","001","65","3.392","47.7","16.9","18.5","9.2","4.6","1.5","1.5",".",".",".",".",".",".",".",".","."
"Intro to Political Theory","209","001","325","3.036","16.0","26.8","26.2","17.2","7.7","2.5","1.5","0.3",".",".",".",".","1.2","0.6",".","."
"Law, Politics and Society","217","001","38","2.806","15.8","13.2","28.9","18.4","10.5","2.6","5.3","2.6",".",".",".",".","2.6",".",".","."
"Understndng Politcl Numbers","218","001","47","3.457","10.6","74.5","12.8",".","2.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to East Asian Civ","222","001","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244","001","22","3.568","63.6","22.7","4.5",".","4.5",".","4.5",".",".",".",".",".",".",".",".","."
"Civs of India-Modern Period","252","001","31","3.411","12.9","58.1","12.9","3.2","3.2",".",".",".",".",".",".",".","9.7",".",".","."
"Intro to Political Psych","267","001","40","3.932","85.0","2.5","5.0",".",".",".",".","2.5",".",".",".",".","5.0",".",".","."
"Africa: Introductory Survey","277","001","35","3.114","20.0","20.0","37.1","14.3","5.7","2.9",".",".",".",".",".",".",".",".",".","."
"Prin-International Law","316","001","203","3.010","19.2","22.7","22.2","21.7","10.3","2.0","1.5",".",".",".",".",".","0.5",".",".","."
"Intl Institutns&World Order","337","001","50","3.112","18.0","30.0","24.0","16.0","8.0",".","2.0",".",".",".",".",".","2.0",".",".","."
"Eur Union:Politics&Pol Econ","338","001","136","3.112","12.5","34.6","27.9","15.4","5.9","1.5","0.7","1.5",".",".",".",".",".",".",".","."
"Theories-Internationl Security","367","001","18","3.611","38.9","44.4","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Anal of Internatl Relations","376","001","62","2.621","17.7","17.7","16.1","19.4","12.9","6.5","9.7",".",".",".",".",".",".",".",".","."
"Nuclear Weapons&World Poltc","377","001","73","3.278","24.7","38.4","16.4","11.0","5.5","2.7",".",".",".",".",".",".","1.4",".",".","."
"Conflict Resolution","378","001","17","3.094","23.5","29.4","17.6","11.8","5.9",".","5.9","5.9",".",".",".",".",".",".",".","."
