"L&S","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"ZOOLOGY
970","Dept. Total","2632","2.919","27.2","11.5","27.4","8.4","15.6","5.0","1.9","1.9","",".","0.2","",".","0.8","0.1","0.1","0.1","0.0"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","193","2.471","13.0","13.5","24.9","12.4","20.2","8.8","7.3",".","",".",".","",".",".",".",".",".","."
"Sophomore","","745","2.765","16.4","13.3","34.2","10.3","18.8","5.1","1.9",".","",".",".","",".",".",".",".",".","."
"Junior","","673","2.833","22.1","11.3","29.6","7.4","21.2","6.1","1.9",".","",".",".","",".",".",".","0.1",".","0.1"
"Senior","","820","3.170","37.8","11.8","24.9","8.5","10.2","4.1","1.0","0.1","",".","0.5","",".","0.6","0.2","0.1",".","."
"Undergraduates","","2431","2.890","24.9","12.3","29.0","9.1","16.7","5.3","2.0","0.0","",".","0.2","",".","0.2","0.1","0.1",".","0.0"
"Special","","25","3.506","60.0","8.0","12.0","4.0","8.0","4.0",".",".","",".",".","",".",".",".",".","4.0","."
"Graduate","","176","3.736","53.4","1.1","6.8",".","1.1",".","0.6","27.8","",".",".","",".","8.5",".",".","0.6","."
"","Dept. Total","2632","2.919","27.2","11.5","27.4","8.4","15.6","5.0","1.9","1.9","",".","0.2","",".","0.8","0.1","0.1","0.1","0.0"
