"ENVIR ST - GAYLORD NELSON I Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"360
ENVIR ST","","","","","","","","","","","","","","","","","","","",""
"Sustainability Cmty Engagement","398
001","","18","",".",".",".",".",".",".",".",".",".","94.4","5.6",".",".",".",".","."
"Topics: Biol Aspects-Envir St","400
001","","28","4.000","92.9",".",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Topics: Env Perspctve-Phys Sci","401
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","402
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","402
003","","20","3.750","75.0","10.0","10.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspectives-Envir Studies","Course Total","","22","3.773","77.3","9.1","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","403
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","403
002","","9","3.333","22.2","22.2","11.1",".","11.1",".",".","22.2",".",".",".",".","11.1",".",".","."
"","403
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Environmental Studies","Course Total","","14","3.636","50.0","14.3","7.1",".","7.1",".",".","14.3",".",".",".",".","7.1",".",".","."
"Preserving Nature","413
001","","172","2.829","14.0","14.0","30.8","11.0","16.9","6.4","0.6",".",".",".",".",".",".","6.4",".","."
"Sustainability Sci, Tech & Pol","417
001","","24","3.500","75.0","8.3","4.2",".","4.2",".","8.3",".",".",".",".",".",".",".",".","."
"Law and Environment","430
001","","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global Environmental History","465
001","","24","3.500","45.8","12.5","16.7","8.3","4.2",".",".",".",".",".",".",".",".",".","12.5","."
"Intro-Environmental Health","471
001","","44","3.465","25.0","50.0","15.9","4.5","2.3",".",".","2.3",".",".",".",".",".",".",".","."
"Greeks, Romans, Nat. Env.","488
001","","19","3.763","57.9","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes","510
001","","15","3.733","80.0",".","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","511
001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","511
002","","8","3.625","75.0",".","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Ecology of Fishes Lab","Course Total","","14","3.679","71.4","7.1","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Conservation Biology","516
001","","13","3.692","61.5","15.4","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","533
001","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","533
003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topic in Lit and Environment","Course Total","","25","3.980","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev and Env in Southeast Asia","557
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Energy Markets","561
001","","8","3.438","12.5","62.5","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Assessment-Environ Impact","575
001","","23","3.826","78.3","13.0","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","581
001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","581
002","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prescribed Fire Implementation","Course Total","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
002","","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
003","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600
004","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Environmental Studies Capstone","Course Total","","51","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applictn of GIS:Natrl Rsrcs","695
001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
