"FINANCE, INVESTMENT & BANKI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"233
FINANCE","","","","","","","","","","","","","","","","","","",""
"","200
001","72","",".",".",".",".",".",".",".",".",".","95.8","2.8",".",".",".","1.4","."
"","200
002","68","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","200
003","63","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","200
004","67","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Finance Industry Fundamentals","Course Total","270","",".",".",".",".",".",".",".",".",".","98.9","0.7",".",".",".","0.4","."
"","205
001","57","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","205
002","55","",".",".",".",".",".",".",".",".",".","80.0","18.2",".",".",".","1.8","."
"Financial Modeling in Excel","Course Total","112","",".",".",".",".",".",".",".",".",".","90.2","8.9",".",".",".","0.9","."
"","300
001","82","3.198","12.2","34.1","36.6","12.2","3.7",".",".",".",".",".",".",".",".",".","1.2","."
"","300
002","166","3.114","16.3","22.9","37.3","19.3","3.0",".","1.2",".",".",".",".",".",".",".",".","."
"","300
003","127","3.362","34.6","40.2","11.8","3.9","2.4","7.1",".",".",".",".",".",".",".",".",".","."
"","300
004","121","2.992","24.8","26.4","16.5","9.9","10.7","11.6",".",".",".",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","496","3.162","22.4","30.0","25.6","11.9","4.8","4.6","0.4",".",".",".",".",".",".",".","0.2","."
"","305
001","59","3.593","44.1","35.6","16.9","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"","305
002","60","3.383","33.3","30.0","21.7","10.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","305
003","59","3.492","44.1","27.1","16.9","6.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"","305
004","56","3.330","32.1","32.1","16.1","8.9","10.7",".",".",".",".",".",".",".",".",".",".","."
"","305
005","59","3.750","62.7","25.4","6.8","3.4",".",".",".","1.7",".",".",".",".",".",".",".","."
"Finc Mrkts,Instns&Econ Actv","Course Total","293","3.510","43.3","30.0","15.7","6.1","4.4",".",".","0.3",".",".",".",".",".",".",".","."
"","320
001","57","3.429","33.3","33.3","21.1","5.3","5.3",".",".","1.8",".",".",".",".",".",".",".","."
"","320
002","52","3.471","42.3","28.8","17.3","3.8","7.7",".",".",".",".",".",".",".",".",".",".","."
"","320
003","56","3.384","21.4","41.1","30.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","320
004","55","3.464","38.2","23.6","30.9","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Investment Theory","Course Total","220","3.436","33.6","31.8","25.0","5.9","3.2",".",".","0.5",".",".",".",".",".",".",".","."
"","325
001","53","3.198","26.4","18.9","37.7","9.4","3.8","3.8",".",".",".",".",".",".",".",".",".","."
"","325
002","25","3.300","28.0","20.0","36.0","16.0",".",".",".",".",".",".",".",".",".",".",".","."
"","325
003","49","3.357","44.9","20.4","14.3","10.2","6.1","4.1",".",".",".",".",".",".",".",".",".","."
"","325
004","51","3.216","35.3","25.5","11.8","9.8","13.7","3.9",".",".",".",".",".",".",".",".",".","."
"","325
005","24","3.396","54.2","16.7","8.3","4.2","12.5","4.2",".",".",".",".",".",".",".",".",".","."
"Corporation Finance","Course Total","202","3.277","36.6","20.8","21.8","9.9","7.4","3.5",".",".",".",".",".",".",".",".",".","."
"","330
001","59","3.212","27.1","25.4","30.5","10.2","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"","330
002","61","3.262","26.2","21.3","41.0","8.2","1.6",".","1.6",".",".",".",".",".",".",".",".","."
"","330
003","60","3.508","33.3","41.7","20.0","3.3","1.7",".",".",".",".",".",".",".",".",".",".","."
"","330
004","60","3.492","25.0","51.7","20.0","3.3",".",".",".",".",".",".",".",".",".",".",".","."
"Derivative Securities","Course Total","240","3.369","27.9","35.0","27.9","6.3","1.7",".","1.3",".",".",".",".",".",".",".",".","."
"","340
001","24","3.438","20.8","50.0","25.0","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","16","3.250","12.5","25.0","62.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fixed Income Securities","Course Total","40","3.363","17.5","40.0","40.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"","365
001","36","3.569","27.8","58.3","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","33","3.485","30.3","48.5","12.1","6.1","3.0",".",".",".",".",".",".",".",".",".",".","."
"","365
003","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
