"MEDICAL PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"621
MED PHYS","","","","","","","","","","","","","","","","","","","",""
"Intro-Medical Physics
265","001","","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Radiobiology
410","001","","6","3.867","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Monte Carlo Radiatn Transport
506","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physics of Radiotherapy
566","001","","18","3.806","61.1","38.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"NonIonizing Diagnostic Imaging
578","001","","22","3.357","9.1","54.5","27.3","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Med Imaging with Ionizing Rad
580","001","","16","3.833","68.8","18.8","6.3",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Rad Lab-Nuc Med Physics
663","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"671","042","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671","048","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671","049","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Medical Physics","Course Total","","36","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Science in Med Phys
674","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Production Detection
688","001","","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Reading or Research","Course Total","","31","3.971","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Brachytherapy Physics
770","001","","11","3.682","45.5","45.5","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","001","","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"900","002","","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Journal Club and Seminar","Course Total","","31","3.903","90.3","6.5",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","3","***","","","","","","","","","",".",".",".",".",".",".","."
