"","682
006","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","682
007","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"","682
008","1","***","","","","","","","","","","","","","",".",".","",".",".","",".",".","."
"Senior Honors Thesis","Course Total","6","4.000","100.0",".",".","",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"494
INTER-AG","Dept. Total","248","3.949","94.8","2.4","1.6","",".","0.4","",".","0.4","",".","",".",".","",".","0.4","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","D","","F","S","","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"494
INTER-AG","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","17","3.706","76.5",".","17.6","",".","5.9","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","77","3.974","96.1","2.6","1.3","",".",".","",".",".","",".","",".",".","",".",".","",".",".",".","."
"Junior","","76","3.928","94.7","3.9",".","",".",".","",".","1.3","",".","",".",".","",".",".","",".",".",".","."
"Senior","","78","3.994","97.4","1.3",".","",".",".","",".",".","",".","",".",".","",".","1.3","",".",".",".","."
"Undergraduates","","248","3.949","94.8","2.4","1.6","",".","0.4","",".","0.4","",".","",".",".","",".","0.4","",".",".",".","."
"","Dept. Total","248","3.949","94.8","2.4","1.6","",".","0.4","",".","0.4","",".","",".",".","",".","0.4","",".",".",".","."
