"CHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","","",""
"512","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"512","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Synthesis Lab","Course Total","","6","3.773","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chemical Instrumentation
524","001","","20","3.375","25.0","35.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry I
561","001","","42","3.274","28.6","26.2","23.8","14.3","7.1",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry II
562","001","","64","3.258","29.7","26.6","20.3","12.5","10.9",".",".",".",".",".",".",".",".",".",".","."
"563","001","","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"563","003","","9","3.722","55.6","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"563","004","","6","3.333","16.7","33.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab I","Course Total","","21","3.643","47.6","33.3","19.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","003","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","004","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"564","006","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Physical Chemistry Lab II","Course Total","","37","3.811","64.9","32.4","2.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spectrochemical Measuremts
605","001","","25","3.740","64.0","20.0","16.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Phys Meth-Struct Determintn
606","001","","18","3.489","33.3","50.0","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"Laboratory Safety
607","001","","65","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Experimental Spectroscopy
623","001","","9","3.813","55.6","33.3",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Topics-Analytical Chemistry
630","001","","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Computational Chem
635","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topics-Chem Instrumentatn: NMR
636","001","","22","3.886","86.4","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Materials Chem of Polymers
654","001","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biophysical Chemistry
665","001","","143","3.336","35.7","33.6","16.1","5.6","2.8","5.6","0.7",".",".",".",".",".",".",".",".","."
"682","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"682","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","122","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis
691","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","013","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 210 of 493",""
