"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Historical Studies: Intro","100
001","17","3.176","17.6","29.4","23.5","29.4",".",".",".",".",".",".",".",".",".",".",".","."
"Amer Hist to Civil War Era","101
001","105","3.418","26.7","25.7","8.6","3.8","1.9","1.9","1.0","29.5",".",".",".",".","1.0",".",".","."
"Amer Hist-Civil War-Present","102
001","65","3.539","69.2","13.8","1.5","3.1","1.5","7.7","1.5","1.5",".",".",".",".",".",".",".","."
"Intro to US History","109
001","13","3.846","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Europe&Mod World 1815-On","120
001","63","3.412","42.9","20.6","6.3","1.6","1.6","6.3","1.6","19.0",".",".",".",".",".",".",".","."
"Intro to World History","130
001","72","3.625","43.1","20.8","8.3","1.4","4.2",".",".","22.2",".",".",".",".",".",".",".","."
"History of Race and Inequality","143
001","37","3.770","67.6","21.6","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"The U.S. West Since 1850","152
001","61","3.867","77.0","18.0","1.6","1.6",".",".",".",".",".",".",".",".","1.6",".",".","."
"Long Black Freedom Struggle","155
002","45","3.688","53.3","6.7","6.7","2.2",".",".","2.2","28.9",".",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161
001","17","3.269","41.2","11.8","5.9","5.9","5.9",".","5.9","23.5",".",".",".",".",".",".",".","."
"Historical Studies","200
001","42","3.595","61.9","14.3","14.3","4.8","2.4","2.4",".",".",".",".",".",".",".",".",".","."
"","201
002","40","3.575","62.5","22.5","2.5","2.5","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","201
003","44","3.714","72.7","9.1","4.5","4.5","2.3","2.3",".",".",".",".",".",".","4.5",".",".","."
"","201
004","43","3.651","79.1","7.0","4.7","2.3",".","4.7","2.3",".",".",".",".",".",".",".",".","."
"","201
005","40","3.675","70.0","15.0","10.0",".","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"","201
006","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
007","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
009","12","3.850","58.3","25.0",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"","201
010","36","3.729","77.8","8.3","2.8","5.6",".",".","2.8",".",".",".",".",".","2.8",".",".","."
"","201
011","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
012","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
013","14","3.846","64.3","28.6",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","201
014","11","3.500","54.5","27.3","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","201
015","11","3.000","27.3","9.1","27.3","27.3",".","9.1",".",".",".",".",".",".",".",".",".","."
"","201
016","11","3.773","72.7","9.1","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
017","15","3.133","46.7","20.0","6.7","6.7","6.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","201
018","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","Course Total","335","3.674","70.4","14.3","5.4","3.0","1.5","2.4","1.2",".",".",".",".",".","1.8",".",".","."
"Jews and American Pop. Culture","213
001","56","3.391","14.3","10.7","10.7","3.6","1.8",".",".","58.9",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","221
003","15","3.154","40.0","20.0","6.7","6.7",".","6.7","6.7",".",".",".",".",".",".",".","13.3","."
"","223
001","26","3.600","53.8","30.8","3.8",".","3.8","3.8",".",".",".",".",".",".","3.8",".",".","."
"","223
002","25","3.583","76.0","8.0","4.0",".",".",".","8.0",".",".",".",".",".","4.0",".",".","."
"Exploration-European Hist (H)","Course Total","51","3.592","64.7","19.6","3.9",".","2.0","2.0","3.9",".",".",".",".",".","3.9",".",".","."
"Prisons: Antiquity to Supermax","235
001","24","3.639","20.8","54.2",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"Making the American Landscape","239
001","18","3.806","72.2","22.2",".","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","33","3.810","48.5","12.1",".",".","3.0",".",".","36.4",".",".",".",".",".",".",".","."
"Eastern Europe:Interdis Survey","254
001","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255
001","20","3.571","45.0","10.0","10.0",".",".","5.0",".","30.0",".",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","17","3.765","76.5",".","23.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"American Legal History to Pres","262
001","22","3.386","22.7","31.8","45.5",".",".",".",".",".",".",".",".",".",".",".",".","."
