"","990
042","3","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Research","Course Total","53","",".",".",".",".",".",".",".","56.6","",".",".","",".","43.4","",".",".",".","."
"","999
016","8","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".",".","",".",".","."
"","999
040","1","***","","","","","","","","","","",".",".","",".",".","",".",".","."
"Advanced Independent Study","Course Total","9","3.727","88.9",".","11.1",".",".",".",".",".","",".",".","",".",".","",".",".",".","."
"640
ATM OCN","Dept. Total","697","3.369","43.8","15.8","12.1","8.0","7.3","1.4","0.6","5.2","",".",".","",".","3.3","",".","2.4","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"640
ATM OCN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","34","2.755","8.8","26.5","11.8","26.5","23.5","2.9",".",".","",".",".","",".",".","",".",".",".","."
"Sophomore","","195","3.235","39.5","17.4","15.9","12.8","10.3","2.6","0.5",".","",".",".","",".",".","",".","1.0",".","."
"Junior","","130","3.341","45.4","18.5","15.4","9.2","6.9","2.3","1.5","0.8","",".",".","",".",".","",".",".",".","."
"Senior","","171","3.476","54.4","17.5","15.2","4.7","7.0","0.6","0.6",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","530","3.302","43.8","18.3","15.3","10.2","9.2","1.9","0.8","0.2","",".",".","",".",".","",".","0.4",".","."
"Special","","25","3.357","16.0",".","4.0","4.0","4.0",".",".","8.0","",".",".","",".",".","",".","60.0","4.0","."
"Graduate","","142","3.835","48.6","9.2","1.4","0.7","0.7",".",".","23.2","",".",".","",".","16.2","",".",".",".","."
"","Dept. Total","697","3.369","43.8","15.8","12.1","8.0","7.3","1.4","0.6","5.2","",".",".","",".","3.3","",".","2.4","0.1","."
