"BUS","","","","","","","","","","","","","","","","","","","",""
"MANAGEMENT AND HUMAN RES Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"Dept. Total
236
M H R","2086","3.550","49.6","26.0","16.3","4.7","2.0","0.4","0.2","0.3","",".",".","",".","0.2","0.1","0.0",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","","",""
"Freshmen","40","2.988","12.5","17.5","37.5","25.0","5.0","2.5",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","237","3.268","22.4","30.8","32.5","11.0","2.1","0.4","0.8",".","",".",".","",".",".",".",".",".","."
"Junior","471","3.474","44.4","23.8","20.8","6.4","3.4","0.8","0.2",".","",".",".","",".",".",".","0.2",".","."
"Senior","621","3.574","50.2","25.6","16.7","4.5","1.9","0.5","0.2",".","",".",".","",".",".","0.3",".",".","."
"Undergraduates","1369","3.469","42.3","25.6","21.5","6.9","2.6","0.7","0.3",".","",".",".","",".",".","0.1","0.1",".","."
"Special","29","3.214","37.9","24.1","10.3","3.4","17.2",".","3.4","3.4","",".",".","",".",".",".",".",".","."
"Graduate","667","3.784","64.5","27.0","6.3","0.6","0.3",".",".","0.7","",".",".","",".","0.6",".",".",".","."
"Prof Yr 2","13","3.931","84.6","15.4",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","7","3.816","57.1","42.9",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","21","3.845","71.4","23.8","4.8",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Dept. Total","2086","3.550","49.6","26.0","16.3","4.7","2.0","0.4","0.2","0.3","",".",".","",".","0.2","0.1","0.0",".","."
