"SLAVIC (SLAVIC LANGUAGES)","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"888
SLAVIC","","","","","","","","","","","","","","","","","","","","",""
"","102","001","","7","2.929","42.9",".","28.6","14.3",".",".","14.3",".",".",".",".",".",".",".",".","."
"","102","002","","13","3.577","46.2","38.5","7.7",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","102","003","","9","3.278","44.4","33.3","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"2nd Semester Russian","","Course Total","","29","3.328","44.8","27.6","13.8","3.4","3.4",".","6.9",".",".",".",".",".",".",".",".","."
"Second Semester Polish","112","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","204","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","204","002","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Russian","","Course Total","","16","3.750","56.3","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Polish","208","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","245","001","","33","3.767","60.6","18.2","12.1",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"","245","002","","25","3.940","92.0","4.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","245","003","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Literatures","","Course Total","","73","3.864","78.1","9.6","8.2",".",".",".",".",".",".",".",".",".",".",".","4.1","."
"Eastern Europe:Interdis Survey","254","001","","32","3.767","34.4","3.1","9.4",".",".",".",".","53.1",".",".",".",".",".",".",".","."
"Elem Topics in Russ Lit & Cult","266","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Russian II","276","001","","17","3.767","64.7","17.6",".",".","5.9",".",".","5.9",".",".",".",".","5.9",".",".","."
"Third Year Polish I","277","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Year Polish II","278","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Russian Lang & Culture II","316","001","","14","3.692","57.1","21.4","7.1","7.1",".",".",".","7.1",".",".",".",".",".",".",".","."
"Contemporary Russian Culture","434","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Read in Russian Lit & Cult","465","001","","6","3.667","66.7",".","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Russian Listen & Speaking","555","001","","7","3.714","85.7",".",".",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey of Old Russian Lit","701","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Slavic Crit Theory&Practice","801","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"OCS/Russ Literary Lang","803","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"College Teaching of Russian","820","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar: Slavic Lit & Culture","900","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","991","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indiv Research-Slavic Lit","","Course Total","","9","",".",".",".",".",".",".",".","44.4",".",".",".","33.3","22.2",".",".","."
