"L&S","","","","","","","","","","","","","","","","","","",""
"ASIAN AMERICAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Intro to Asian Amer Studies","101
001","22","2.045","22.7",".","4.5","9.1","31.8","13.6","18.2",".",".",".",".",".",".",".",".","."
"Intro US Ethnic/Am Ind Studies","102
001","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"AsianAm His:Settlmnt&Belonging","161
001","39","3.718","76.9","7.7","10.3","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"Ethnic Movements in U.S.","220
001","20","3.675","60.0","30.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","240
002","40","3.725","82.5","5.0","2.5","5.0","2.5",".","2.5",".",".",".",".",".",".",".",".","."
"","240
003","15","3.233","26.7","40.0","20.0","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","240
011","27","3.963","92.6","7.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","240
012","27","3.704","85.2","3.7",".","3.7","3.7",".","3.7",".",".",".",".",".",".",".",".","."
"Topics-Asian Amer Studies","Course Total","109","3.711","78.0","10.1","3.7","3.7","1.8",".","2.8",".",".",".",".",".",".",".",".","."
"SE Asian Refugees of Cold War","246
001","23","3.522","56.5","21.7","8.7","4.3","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Eating Asian America","250
002","32","3.813","81.3","12.5","3.1",".",".","3.1",".",".",".",".",".",".",".",".",".","."
"Survey of Asian Americn Lit","270
001","14","3.714","57.1","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Afro Asian Improv","319
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","463
001","9","3.222","77.8",".",".",".",".","11.1","11.1",".",".",".",".",".",".",".",".","."
"184
ASIAN AM","Dept. Total","288","3.586","70.8","12.5","4.2","3.5","3.8","2.1","3.1",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","",""
"Freshmen","","14","3.606","57.1","28.6",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"Sophomore","","88","3.525","72.7","10.2","4.5",".","3.4","3.4","5.7",".",".",".",".",".",".",".",".","."
"Junior","","98","3.637","77.6","6.1","4.1","5.1","3.1",".","4.1",".",".",".",".",".",".",".",".","."
"Senior","","88","3.590","63.6","19.3","4.5","4.5","4.5","3.4",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","288","3.586","70.8","12.5","4.2","3.5","3.8","2.1","3.1",".",".",".",".",".",".",".",".","."
"","Dept. Total","288","3.586","70.8","12.5","4.2","3.5","3.8","2.1","3.1",".",".",".",".",".",".",".",".","."
