"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"ELPA","","","","","","","","","","","","","","","","","","","","",""
"Junior","3","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Senior","23","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","26","4.000","100.0",".",".",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Special","16","3.964","81.3","6.3",".",".",".",".","",".",".","",".",".","",".",".",".",".","12.5","."
"Graduate","570","3.922","77.2","4.0","2.3","0.5","0.4","0.2","",".","8.4","",".","3.7","",".","0.7","2.6",".",".","."
"Prof Yr 2","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 3","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","2","***","","","","","","","","","","","",".","",".",".",".",".",".","."
