"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","Section
#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","Dept. Total
95","3.938","48.4","12.6","",".","",".","",".","",".","",".","33.7","",".",".",".","4.2",".",".","1.1","."
"Summary by Level","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","1","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Senior","2","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Undergraduates","3","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Graduate","88","3.930","46.6","13.6","",".","",".","",".","",".","",".","34.1","",".",".",".","4.5",".",".","1.1","."
"Prof Yr 3","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Professionals","4","***","","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total
95","3.938","48.4","12.6","",".","",".","",".","",".","",".","33.7","",".",".",".","4.2",".",".","1.1","."
