"Global Business Management","766
050","12","3.875","75.0","25.0",".",".",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Global Learning Experience","767
050","12","3.917","83.3","16.7",".",".",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"Business in the Global Economy","780
025","9","3.944","88.9","11.1",".",".",".","",".",".",".","",".","",".",".","",".","",".","",".",".","."
"235
INTL BUS","Dept. Total","168","3.706","70.2","19.6","6.5","1.2","1.2","",".","1.2","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"235
INTL BUS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","14","3.650","57.1","21.4","14.3","7.1",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","27","3.772","66.7","22.2","11.1",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","64","3.593","62.5","21.9","9.4",".","3.1","",".","3.1","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","105","3.648","62.9","21.9","10.5","1.0","1.9","",".","1.9","",".","",".",".","",".","",".","",".",".",".","."
"Special","","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","","57","3.907","84.2","15.8",".",".",".","",".",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","1","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"","Dept. Total","168","3.706","70.2","19.6","6.5","1.2","1.2","",".","1.2","",".","",".",".","",".","",".","",".",".",".","."
