"ASIAN LANG & CULTURE: LANG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","","",""
"358","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"358","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"358","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fourth Semester Asian Language","Course Total","","7","4.000","85.7",".",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Advanced Japanese: Foundations
375","001","","19","3.605","57.9","21.1","5.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"Bus Japanese Communication
377","001","","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"379","001","","20","3.842","70.0","20.0","5.0",".",".",".",".",".","5.0",".",".",".",".",".",".","."
"379","002","","19","3.947","89.5","10.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Business Chinese","Course Total","","39","3.895","79.5","15.4","2.6",".",".",".",".",".","2.6",".",".",".",".",".",".","."
"Eighth Semester Korean
406","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"422","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"422","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"8th Semester Asian Language","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Advanced Japanese: AV Media
452","001","","17","3.618","70.6","17.6","5.9",".",".",".","5.9",".",".",".",".",".",".",".",".","."
"Advanced Chinese through Media
454","001","","15","3.700","66.7","6.7","26.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics: Asian Translation
475","001","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"186
ASIALANG","Dept. Total","","590","3.726","71.2","13.9","7.1","2.7","1.9","0.5","0.7","1.7","0.2",".",".",".",".","0.2",".","."
