"CHEMISTRY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"224
CHEM","","","","","","","","","","","","","","","","","","",""
"","101
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","101
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Chem I Laboratory","Course Total","4","***","","","","","","","","","","","","","","","",""
"General Chem II Laboratory","102
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","103
001","306","2.946","17.0","21.6","27.5","14.1","14.1","5.6","0.3",".",".",".",".",".",".",".",".","."
"","103
002","249","3.032","20.1","28.1","21.3","11.2","13.3","3.6","1.6",".",".",".",".",".","0.8",".",".","."
"","103
003","208","3.082","24.0","20.2","27.4","13.5","11.5","2.4","1.0",".",".",".",".",".",".",".",".","."
"General Chemistry I","Course Total","763","3.011","19.9","23.3","25.4","13.0","13.1","4.1","0.9",".",".",".",".",".","0.3",".",".","."
"","104
001","318","2.938","25.2","13.8","25.2","11.6","16.7","6.0","1.3",".",".",".",".",".","0.3",".",".","."
"","104
002","345","2.955","24.9","13.0","26.7","12.8","15.7","6.1","0.6",".",".",".",".",".","0.3",".",".","."
"","104
003","335","2.969","26.6","14.0","24.2","13.1","14.9","6.3","0.9",".",".",".",".",".",".",".",".","."
"","104
005","267","2.972","24.3","14.2","26.2","13.1","16.1","5.2","0.4",".",".",".",".",".","0.4",".",".","."
"","104
006","238","3.044","29.8","11.8","29.0","10.5","12.2","6.3","0.4",".",".",".",".",".",".",".",".","."
"General Chemistry II","Course Total","1503","2.972","26.0","13.4","26.1","12.3","15.2","6.0","0.7",".",".",".",".",".","0.2",".",".","."
"General Chemistry I","105
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Chemistry in Our World","108
001","223","2.926","22.4","18.4","22.9","14.3","13.0","8.1","0.9",".",".",".",".",".",".",".",".","."
"Chemical Principles II","116
001","26","3.827","73.1","19.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entering Research I","260
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299
007","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
048","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
059","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Chem Across the Periodic Table","311
001","40","3.563","45.0","27.5","25.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","327
001","60","3.208","25.0","36.7","15.0","11.7","6.7","5.0",".",".",".",".",".",".",".",".",".","."
"","329
001","65","3.308","38.5","23.1","16.9","13.8","4.6","1.5","1.5",".",".",".",".",".",".",".",".","."
"","329
002","41","3.244","41.5","12.2","24.4","7.3","9.8","4.9",".",".",".",".",".",".",".",".",".","."
"Fundamentals of Analytical Sci","Course Total","106","3.283","39.6","18.9","19.8","11.3","6.6","2.8","0.9",".",".",".",".",".",".",".",".","."
"","342
001","16","3.250","31.3","6.3","43.8","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","342
002","14","3.214","50.0",".","28.6","14.3",".",".","7.1",".",".",".",".",".",".",".",".","."
"Elementary Organic Chem Lab","Course Total","30","3.233","40.0","3.3","36.7","16.7",".",".","3.3",".",".",".",".",".",".",".",".","."
"","343
001","259","2.952","27.4","12.7","25.9","6.9","19.7","5.4","1.5",".",".",".",".",".",".","0.4",".","."
"","343
002","330","2.901","26.7","10.3","27.3","7.6","20.0","5.8","2.1",".",".",".",".",".","0.3",".",".","."
"","343
003","249","2.849","23.3","14.5","21.7","6.4","24.1","7.2","1.2",".",".",".",".",".",".","1.6",".","."
"Organic Chemistry I","Course Total","838","2.901","25.9","12.3","25.2","7.0","21.1","6.1","1.7",".",".",".",".",".","0.1","0.6",".","."
"","344
001","15","3.267","40.0",".","33.3","26.7",".",".",".",".",".",".",".",".",".",".",".","."
"","344
002","17","2.941","35.3","5.9","23.5","5.9","17.6","11.8",".",".",".",".",".",".",".",".",".","."
"","344
003","17","3.147","23.5","5.9","47.1","23.5",".",".",".",".",".",".",".",".",".",".",".","."
"","344
004","17","3.188","17.6","35.3","23.5","11.8",".","5.9",".",".",".",".",".",".","5.9",".",".","."
"","344
005","18","3.306","38.9","5.6","38.9","11.1","5.6",".",".",".",".",".",".",".",".",".",".","."
