"GENDER AND WOMEN'S STUDIE Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
GEN&WS","","","","","","","","","","","","","","","","","","","",""
"Gender, Women & Cultural Rep","101","001","234","3.690","62.8","24.4","9.0","1.7","0.4","0.4","1.3",".",".",".",".",".",".",".",".","."
"","103","001","450","3.424","42.4","28.4","14.7","5.8","6.4","1.8","0.4",".",".",".",".",".",".",".",".","."
"","103","002","21","3.595","61.9","14.3","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"Gender Women Bodies and","","Course Total","471","3.432","43.3","27.8","14.9","5.5","6.2","1.9","0.4",".",".",".",".",".",".",".",".","."
"Intro to Disability Studies","105","001","52","3.962","96.2",".","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women's Writing","144","001","53","3.906","84.9","11.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to LGBTQ+ Studies","200","002","37","3.338","48.6","21.6","10.8","8.1","2.7","5.4","2.7",".",".",".",".",".",".",".",".","."
"","248","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","248","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Women in Ethnic Amer Lit","","Course Total","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Latinx Feminisms","308","001","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Communication","316","001","12","3.458","66.7","8.3","16.7",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","340","001","37","3.838","81.1","8.1","8.1","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","340","002","37","3.892","94.6",".","2.7",".",".","2.7",".",".",".",".",".",".",".",".",".","."
"Topics in LGBTQ Sexuality","","Course Total","74","3.865","87.8","4.1","5.4","1.4",".","1.4",".",".",".",".",".",".",".",".",".","."
"Gender, Sexuality, & Rurality","347","001","19","3.722","78.9","5.3",".","5.3",".","5.3",".","5.3",".",".",".",".",".",".",".","."
"","350","001","12","3.792","75.0","8.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","350","002","29","3.857","89.7",".",".",".","6.9",".",".",".",".",".",".",".",".",".","3.4","."
"","350","003","25","3.840","68.0","32.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender & Literature","","Course Total","66","3.838","78.8","13.6","3.0",".","3.0",".",".",".",".",".",".",".",".",".","1.5","."
"Women in the Classical World","351","001","14","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Law, Sexuality, & Society","406","001","11","3.182","27.3","36.4","9.1",".","27.3",".",".",".",".",".",".",".",".",".",".","."
"Women and the Law","422","001","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Politics Gender Rights MidEast","435","001","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Past-Postfeminisms for 21st C","444","001","23","3.696","69.6","8.7","17.4",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"The Body in Theory","445","001","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Feminist Theory","449","001","38","3.750","78.9","10.5","5.3","2.6",".",".","2.6",".",".",".",".",".",".",".",".","."
"Brazillian Women Writers","450","001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race & Sexuality in Amer Lit","463","001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"FoodThought: IntersectionalApp","472","001","36","3.903","80.6","19.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Race Gender Health & Medicine","524","001","32","3.984","96.9","3.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sexuality and Science","528","001","34","3.735","73.5","17.6","2.9",".","2.9","2.9",".",".",".",".",".",".",".",".",".","."
"Topics: Gender & Biology","533","001","39","3.949","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Gender and Health","539","001","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Education","560","001","11","3.500","72.7","9.1","9.1",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"Capstone Smr in Gender & Wm St","640","001","27","3.759","66.7","25.9","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Internship-Gender&Women's Std","660","001","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis II","682","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","692","010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 370 of 493",""
