"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Sophomore","2","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","11","4.000","100.0",".",".",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Senior","98","3.860","84.7","8.2","6.1","1.0",".",".",".",".","",".",".","",".",".",".",".",".","."
"Undergraduates","111","3.872","85.6","8.1","5.4","0.9",".",".",".",".","",".",".","",".",".",".",".",".","."
"Special","16","3.868","75.0","18.8","6.3",".",".",".",".",".","",".",".","",".",".",".",".",".","."
"Graduate","272","3.876","55.9","4.4","1.8",".","0.4","0.4","0.4","17.6","",".","16.9","",".","1.1","0.7",".","0.4","."
"Prof Yr 1","266","3.477","47.7","22.2","19.5","3.4","5.3","1.5","0.4",".","",".",".","",".",".",".",".",".","."
"Prof Yr 2","244","3.579","52.9","20.5","17.2","6.1","3.3",".",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","10","4.000","90.0",".",".",".",".",".",".",".","",".",".","",".","10.0",".",".",".","."
"Professionals","520","3.530","51.0","21.0","18.1","4.6","4.2","0.8","0.2",".","",".",".","",".","0.2",".",".",".","."
