"","990
042","2","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"","990
045","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"Research","Course Total","30","",".",".",".",".",".",".","",".","66.7","",".",".","",".","33.3",".",".",".","."
"Special Problems","999
033","1","***","","","","","","","","","","","",".",".","",".",".",".",".","."
"112
BSE","Dept. Total","515","3.564","54.4","17.3","12.6","4.7","3.3","0.4","",".","4.1","",".",".","",".","1.9","0.2",".","1.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"112
BSE","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","10","3.604","50.0","30.0","20.0",".",".",".","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","91","3.538","59.3","12.1","20.9","5.5","2.2",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","331","3.551","56.5","20.2","12.1","5.7","4.5","0.6","",".",".","",".",".","",".",".","0.3",".",".","."
"Undergraduates","","432","3.550","56.9","18.8","14.1","5.6","3.9","0.5","",".",".","",".",".","",".",".","0.2",".",".","."
"Special","","8","3.750","12.5","12.5",".",".",".",".","",".",".","",".",".","",".",".",".",".","75.0","."
"Graduate","","75","3.774","44.0","9.3","5.3",".",".",".","",".","28.0","",".",".","",".","13.3",".",".",".","."
"","Dept. Total","515","3.564","54.4","17.3","12.6","4.7","3.3","0.4","",".","4.1","",".",".","",".","1.9","0.2",".","1.2","."
