"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"699","093","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","104","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","109","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","111","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","112","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","113","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","118","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","119","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Research in Neurology","Course Total","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Neurobiology of Disease
735","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Cognition and Neuroanatomy
913","008","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol, Adult Neuro Dis & Diet
914","004","","27","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Neurol, Peds Neuro Dis & Diet
915","015","","24","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","009","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","3","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurol Indiv Clin Elective","Course Total","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
