"LIBRARY & INFORMATION STUD Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"544
L I S","","","","","","","","","","","","","","","","","","",""
"","510
003","40","3.800","77.5","10.0","10.0",".","2.5",".",".",".",".",".",".",".",".",".",".","."
"","510
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","510
005","74","3.628","70.3","14.9","8.1",".","2.7",".","4.1",".",".",".",".",".",".",".",".","."
"Human Factors in Infosec","Course Total","117","3.658","71.8","13.7","8.5",".","2.6",".","3.4",".",".",".",".",".",".",".",".","."
"","517
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","517
005","30","3.267","36.7","20.0","23.3","6.7","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"","517
006","14","3.923","78.6","14.3",".",".",".",".",".","7.1",".",".",".",".",".",".",".","."
"Digital Health","Course Total","46","3.489","52.2","17.4","15.2","4.3","6.5","2.2",".","2.2",".",".",".",".",".",".",".","."
"","601
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Info Perspectives, Contexts","Course Total","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","603
001","15","3.567","73.3","13.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".",".","."
"","603
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Assessment","Course Total","19","3.658","78.9","10.5",".","5.3",".",".","5.3",".",".",".",".",".",".",".",".","."
"","612
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","612
004","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","612
005","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"User Experience Design 2","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","620
002","13","3.692","92.3",".",".",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"Fld Proj-Lib&Info Agencies","Course Total","26","3.846","96.2",".",".",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","629
001","22","3.909","86.4","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multicultural Lit for Youth","Course Total","30","3.933","90.0","6.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Reference & Info Service","635
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
002","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogical Theory & Practice","Course Total","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
001","19","3.684","84.2",".","10.5",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","640
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
003","32","3.625","65.6","18.8","6.3","6.3",".",".","3.1",".",".",".",".",".",".",".",".","."
"","640
004","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
009","16","3.688","81.3","12.5",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","640
012","15","3.800","80.0",".","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
018","12","3.833","75.0","16.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","640
023","34","3.397","61.8","17.6","2.9","2.9","5.9","2.9","5.9",".",".",".",".",".",".",".",".","."
"","640
024","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 294 of 493",""
