"","921
008","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","921
009","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"","921
011","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Inpatient Neuro ICU Elective","Course Total","","6","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"678
NEURSURG","Dept. Total","","33","3.955","63.6","6.1","",".",".","",".","",".","",".","30.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"678
NEURSURG","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","","","7","3.844","71.4","28.6","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","","13","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","","23","3.955","91.3","8.7","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","7","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","3","***","","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","","10","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","33","3.955","63.6","6.1","",".",".","",".","",".","",".","30.3","",".",".","",".","",".","",".",".",".","."
