"L&S","","","","","","","","","","","","","","","","","","","",""
"PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"820
PSYCH","Dept. Total","4728","3.424","50.0","18.0","13.9","6.8","5.2","2.4","1.2","2.1","0.0",".","",".","0.2","0.1","0.0","0.0","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","",""
"820
PSYCH","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","192","2.632","17.2","14.6","20.8","15.6","13.5","13.0","4.7",".",".",".","",".",".","0.5",".",".","."
"Sophomore","","1008","3.326","42.3","20.4","19.1","7.9","5.8","2.9","1.6",".",".",".","",".",".",".",".",".","."
"Junior","","1482","3.403","47.4","19.8","15.6","8.0","6.3","1.8","0.9",".",".",".","",".",".","0.1",".",".","."
"Senior","","1727","3.544","59.9","17.6","10.4","4.9","3.9","1.7","1.2","0.1",".",".","",".",".","0.2",".",".","."
"Undergraduates","","4409","3.410","49.8","18.8","14.6","7.1","5.6","2.5","1.3","0.0",".",".","",".",".","0.1",".",".","."
"Special","","43","3.443","44.2","9.3","7.0","7.0","2.3","4.7",".","20.9","2.3",".","",".",".",".",".","2.3","."
"Graduate","","275","3.829","53.1","5.1","4.0","1.8",".",".",".","31.6",".",".","",".","2.9","0.4","0.7","0.4","."
"Prof Yr 3","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","4728","3.424","50.0","18.0","13.9","6.8","5.2","2.4","1.2","2.1","0.0",".","",".","0.2","0.1","0.0","0.0","."
