"ITALIAN (FRENCH AND ITALIAN) Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","",""
"","101","001","","12","3.682","66.7","8.3","8.3",".","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"","101","002","","25","3.700","84.0","4.0","4.0",".","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"First Semester Italian","","Course Total","","37","3.694","78.4","5.4","5.4",".","5.4",".","2.7","2.7",".",".",".",".",".",".",".","."
"","102","002","","25","3.460","28.0","40.0","28.0","4.0",".",".",".",".",".",".",".",".",".",".",".","."
"","102","003","","26","3.404","53.8","15.4","11.5","11.5",".","7.7",".",".",".",".",".",".",".",".",".","."
"","102","004","","20","3.650","70.0",".","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Second Semester Italian","","Course Total","","71","3.493","49.3","19.7","19.7","8.5",".","2.8",".",".",".",".",".",".",".",".",".","."
"Ital Amer Race, Ethnicity","150","001","","16","3.533","68.8","12.5",".",".","6.3",".","6.3","6.3",".",".",".",".",".",".",".","."
"Accelerated First Year Italian","201","001","","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Italian","203","001","","11","3.455","45.5","18.2","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"Fourth Semester Italian","204","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Workshop","312","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Italian Lit and Culture II","322","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics: Ital Culture,Film,Lang","452","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Italian Film","460","001","","23","3.761","73.9","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"The 18th Century","621","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","799","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Studies in Italian Lit","952","001","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","","Course Total","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
