"ELECTRICAL AND COMPUTER E Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","",""
"","317
004","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sensors Laboratory","Course Total","63","3.937","92.1","3.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Signals and Systems","330
001","94","3.218","34.0","20.2","19.1","12.8","12.8",".","1.1",".",".",".",".",".",".",".",".","."
"State Space System Analysis","334
001","39","3.513","43.6","25.6","23.1","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Microelectronic Devices","335
001","53","3.349","35.8","28.3","15.1","15.1","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"","340
001","78","3.891","83.3","12.8","2.6","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"","340
002","31","3.145","25.8","29.0","22.6","12.9","3.2","3.2","3.2",".",".",".",".",".",".",".",".","."
"Electronic Circuits I","Course Total","109","3.679","67.0","17.4","8.3","4.6","0.9","0.9","0.9",".",".",".",".",".",".",".",".","."
"Electronic Circuits II","342
001","117","3.389","45.3","28.2","9.4","6.8","3.4","6.8",".",".",".",".",".",".",".",".",".","."
"","352
001","88","3.305","31.8","31.8","17.0","8.0","6.8","3.4",".",".",".",".",".",".","1.1",".",".","."
"","352
002","38","3.319","36.8","23.7","10.5","21.1",".",".","2.6",".",".",".",".",".","5.3",".",".","."
"Digital System Fundamentals","Course Total","126","3.309","33.3","29.4","15.1","11.9","4.8","2.4","0.8",".",".",".",".",".","2.4",".",".","."
"Intro to Microprocessor Sys","353
001","85","3.250","31.8","23.5","21.2","7.1","15.3",".",".","1.2",".",".",".",".",".",".",".","."
"","354
001","67","3.343","34.3","20.9","31.3","6.0","7.5",".",".",".",".",".",".",".",".",".",".","."
"","354
002","72","2.958","20.8","12.5","34.7","15.3","12.5","1.4","2.8",".",".",".",".",".",".",".",".","."
"Machine Organizatn&Progrmng","Course Total","139","3.144","27.3","16.5","33.1","10.8","10.1","0.7","1.4",".",".",".",".",".",".",".",".","."
"Electromech Energy Conversn","355
001","73","3.568","34.2","47.9","16.4",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"","370
001","18","3.889","94.4",".",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","370
002","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
003","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","370
004","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","370
005","17","3.971","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory","Course Total","87","3.937","94.3","3.4",".",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Electricl&Electronc Circuit","376
001","48","2.979","20.8","18.8","25.0","14.6","16.7","4.2",".",".",".",".",".",".",".",".",".","."
"Elec&Elec-mech Power Conver","377
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
009","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
015","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
047","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
058","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
063","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
066","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
071","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
072","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
096","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
098","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
099","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
102","2","***","","","","","","","","","",".",".",".",".",".",".","."
