"PHYSICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"754
PHYSICS","","","","","","","","","","","","","","","","","","","",""
"Theor Physics-Electrodynmcs
721","001","","15","3.333","46.7","13.3","26.7",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Plasma Magnetohydrodynamics
726","001","","13","3.500","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Quantum Mechanics
732","001","","58","3.605","48.3","22.4","27.6",".",".",".",".",".",".",".",".",".","1.7",".",".","."
"Nuclear, Particle&Astrophysics
736","001","","8","3.357","25.0","25.0","25.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Adv Solid State Physics
751","001","","13","3.077","7.7","7.7","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"QuantAlg & ErrorCorrection
765","001","","21","3.333","52.4","14.3","14.3","4.8","9.5",".","4.8",".",".",".",".",".",".",".",".","."
"Advanced Quantum Computing
779","001","","18","3.333","27.8","38.9","16.7","5.6","11.1",".",".",".",".",".",".",".",".",".",".","."
"799","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","037","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799","120","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","141","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","152","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","154","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","178","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","189","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","3.972","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Physics
805","001","","41","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Quantum Mechanics
832","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Colloquium
900","001","","14","3.821","85.7",".","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Plasma Physics
922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","10","",".",".",".",".",".",".",".","40.0",".",".",".","60.0",".",".",".","."
"990","015","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","057","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
