"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","",""
"","101
001","61","3.591","42.6","26.2","16.4","4.9",".",".",".","3.3",".",".",".",".","3.3","3.3",".","."
"","101
002","66","3.652","72.7","7.6","12.1","4.5",".",".","3.0",".",".",".",".",".",".",".",".","."
"","101
004","66","3.500","47.0","24.2","12.1","7.6","3.0",".","1.5","3.0",".",".",".",".",".",".","1.5","."
"","101
005","66","3.631","47.0","36.4","10.6","3.0","1.5",".",".","1.5",".",".",".",".",".",".",".","."
"Introduction to Philosophy","Course Total","259","3.594","52.5","23.6","12.7","5.0","1.2",".","1.2","1.9",".",".",".",".","0.8","0.8","0.4","."
"Reason in Communication","210
001","65","3.346","38.5","26.2","20.0","6.2","6.2","1.5","1.5",".",".",".",".",".",".",".",".","."
"","211
001","61","3.369","54.1","13.1","13.1","4.9","9.8","3.3","1.6",".",".",".",".",".",".",".",".","."
"","211
002","63","3.180","46.0","9.5","12.7","12.7","4.8","11.1",".","1.6",".",".",".",".",".","1.6",".","."
"Elementary Logic","Course Total","124","3.275","50.0","11.3","12.9","8.9","7.3","7.3","0.8","0.8",".",".",".",".",".","0.8",".","."
"","241
001","68","3.868","86.8","8.8","2.9",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"","241
002","61","3.951","91.8","6.6","1.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","241
003","66","3.879","90.9","6.1",".",".",".","3.0",".",".",".",".",".",".",".",".",".","."
"Introductory Ethics","Course Total","195","3.897","89.7","7.2","1.5",".",".","1.0","0.5",".",".",".",".",".",".",".",".","."
"","243
001","133","3.557","39.1","43.6","12.0","2.3","0.8","0.8","0.8",".",".",".",".",".","0.8",".",".","."
"","243
002","71","3.739","73.2","14.1","5.6","4.2","1.4","1.4",".",".",".",".",".",".",".",".",".","."
"","243
003","63","3.387","46.0","23.8","14.3","7.9","1.6",".","4.8","1.6",".",".",".",".",".",".",".","."
"","243
004","14","3.714","57.1","35.7",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics in Business","Course Total","281","3.572","50.2","31.3","10.3","4.3","1.1","0.7","1.4","0.4",".",".",".",".","0.4",".",".","."
"Introductory AI & Data Ethics","244
001","143","3.942","93.0","1.4","0.7",".","0.7",".","0.7","3.5",".",".",".",".",".",".",".","."
"Philosophy of Science","320
001","20","3.643","50.0","10.0","5.0",".",".","5.0",".","30.0",".",".",".",".",".",".",".","."
"","341
001","42","3.725","69.0","14.3","9.5",".",".",".","2.4","4.8",".",".",".",".",".",".",".","."
"","341
002","84","3.829","67.9","26.2","3.6",".",".",".",".",".",".",".",".",".",".","2.4",".","."
"","341
003","60","3.729","61.7","20.0","16.7",".",".",".",".","1.7",".",".",".",".",".",".",".","."
"","341
091","23","3.935","91.3","4.3","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","341
092","23","3.841","69.6","21.7","4.3",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","341
093","23","3.717","73.9","17.4",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".","."
"","341
094","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Moral Issues","Course Total","278","3.805","71.6","18.3","6.8","0.4",".","0.4","0.4","1.1",".",".",".",".","0.4","0.7",".","."
"Hist of Ancient Philosophy","430
001","65","3.705","61.5","21.5","7.7",".","1.5",".","1.5","6.2",".",".",".",".",".",".",".","."
"History-Modern Philosophy","432
001","44","3.305","50.0","18.2","6.8","6.8","2.3","2.3","6.8","6.8",".",".",".",".",".",".",".","."
"","454
001","24","3.938","91.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","454
002","27","3.741","63.0","29.6","3.7",".","3.7",".",".",".",".",".",".",".",".",".",".","."
"Classical Philosophers","Course Total","51","3.833","76.5","17.6","3.9",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"Theory of Knowledge","503
001","25","3.583","44.0","28.0","20.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"Methods of Logic","512
001","18","3.472",".","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Language and Meaning","516
001","18","3.706","61.1","22.2","5.6",".","5.6",".",".",".",".",".",".",".","5.6",".",".","."
"Modern Ethical Theories","541
001","25","3.860","72.0","28.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Great Moral Philosophers","549
001","20","3.625","35.0","60.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Philos of Moral Education","550
001","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","551
001","22","3.636","50.0","31.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","551
002","20","3.475","65.0","25.0",".",".",".",".","10.0",".",".",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","Page 326 of 493",""
