"NEUROSCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"681
NEURODPT","","","","","","","","","","","","","","","","","","","",""
"Systems Neuroscience
611","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Computational Neuroscience
640","002","","10","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Genomics of Brain Disorders
650","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","028","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","066","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","086","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","106","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","","49","4.000","98.0",".",".",".",".",".",".",".",".",".",".",".","2.0",".",".","."
"Sensory and Motor Systems
747","005","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Developmental Neuroscience
765","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","066","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","088","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","106","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","18","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
