"LAW","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"528
LAW","","","","","","","","","","","","","","","","","","","","",""
"Administrative Law","744","001","","32","1.300","15.6","3.1","9.4",".",".",".",".","21.9",".",".",".",".",".",".",".","."
"Labor Relations Law","745","001","","19","1.389","21.1",".","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"Role of Police in Free Soc","760","001","","23","0.591","4.3",".","13.0",".",".",".",".","4.3",".",".",".",".",".",".",".","."
"Health Justice Clinic","768","002","","8","",".",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","50.0"
"Select Topics-Estate Planning","771","001","","34","1.548","26.5",".","11.8",".",".",".",".","8.8",".",".",".",".",".",".",".","."
"Use of Trusts-Estate Planning","772","001","","17","1.267","11.8",".","17.6",".","5.9",".",".","11.8",".",".",".",".",".",".",".","."
"Law of Democracy","790","001","","59","1.441","23.7",".","15.3",".","1.7",".",".",".",".",".",".",".",".",".",".","."
"Criminal Defense Practice","796","001","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Prosecution Function","797","001","","18","1.000","16.7",".","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","801","001","","80","1.229","21.3",".","7.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"","801","002","","70","0.897","8.6",".","8.6",".","7.1",".",".","17.1",".",".",".",".",".",".",".","."
"Evidence","","Course Total","","150","1.054","15.3",".","8.0",".","3.3",".",".","14.7",".",".",".",".",".",".",".","."
"","808","001","","12","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","808","002","","15","0.800","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Legal Writing","","Course Total","","27","0.800","11.1",".",".",".",".",".",".","44.4",".",".",".",".",".",".",".","."
"","815","001","","26","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","002","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","003","","13","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","815","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","007","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","815","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Moot Court","","Course Total","","57","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Bus Org: Pship LLC Close Corps","817","001","","76","1.046","6.6",".","21.1",".",".",".",".","14.5",".",".",".",".",".",".",".","."
"Family Law: Parent & Child","823","001","","17","1.600","17.6",".","23.5",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"Federal Jurisdiction","824","001","","36","1.667","27.8",".","13.9",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"Land Use Controls","830","001","","19","1.316","21.1",".","15.8",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Real Estate Transactions II","838","001","","11","1.200","9.1",".","18.2",".","9.1",".",".","9.1",".",".",".",".",".",".",".","."
"Taxation II","840","001","","32","1.214","15.6",".","12.5",".","3.1",".",".","12.5",".",".",".",".",".",".",".","."
"","849","001","","16","",".",".",".",".",".",".",".","87.5",".",".",".",".",".",".",".","12.5"
"","849","002","","16","",".",".",".",".",".",".",".","56.3",".",".",".",".",".",".",".","43.8"
"","849","003","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Pre-Trial Advocacy","","Course Total","","46","",".",".",".",".",".",".",".","80.4",".",".",".",".",".",".",".","19.6"
"","850","001","","38","1.053","10.5",".","21.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","850","002","","65","1.379","13.8",".","21.5",".","1.5",".",".","10.8",".",".",".",".",".",".",".","."
"","850","003","","23","1.870","17.4",".","39.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Professnl Responsibilities","","Course Total","","126","1.335","13.5",".","24.6",".","0.8",".",".","5.6",".",".",".",".",".",".",".","."
"","852","001","","14","",".",".",".",".",".",".",".","78.6",".",".",".",".",".",".",".","21.4"
"","852","002","","15","",".",".",".",".",".",".",".","60.0",".",".",".",".",".",".",".","40.0"
"","852","003","","13","",".",".",".",".",".",".",".","53.8",".",".",".",".",".",".",".","46.2"
