"BIOMEDICAL ENGINEERING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"207
B M E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Program
1","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"BME Design & Fundamentals
201","001","","151","3.877","82.1","13.2","2.6","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"BME Design and Communication
301","001","","68","3.912","85.3","11.8","2.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Bioinstrumentation
310","001","","86","3.558","45.3","32.6","14.0","4.7","3.5",".",".",".",".",".",".",".",".",".",".","."
"Biomechanics
315","001","","37","3.419","29.7","40.5","18.9","5.4","5.4",".",".",".",".",".",".",".",".",".",".","."
"Applied Statistics for BME
325","001","","83","3.837","81.9","8.4","6.0","2.4","1.2",".",".",".",".",".",".",".",".",".",".","."
"389","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","123","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"389","124","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Honors in Research","Course Total","","4","***","","","","","","","","","","","","","","","",""
"399","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","031","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","037","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","047","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","092","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"399","093","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","096","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","097","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","099","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"399","118","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","126","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","127","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","133","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","142","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","149","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","150","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","152","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","160","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","161","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","164","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","165","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"399","166","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","167","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"399","168","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","169","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","170","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"399","171","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"July 16, 2026","","","","","","","","","","","","","","","","","","","Page 122 of 493",""
