"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"FOOD SCI","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","8","",".",".",".",".",".",".",".",".","",".","100.0","",".",".","",".",".",".","."
"Sophomore","","31","2.250","9.7","3.2",".",".",".","9.7",".",".","",".","77.4","",".",".","",".",".",".","."
"Junior","","60","3.063","41.7","11.7","11.7","8.3","11.7","5.0",".",".","",".","10.0","",".",".","",".",".",".","."
"Senior","","213","3.526","66.7","12.7","11.7","5.2","1.9","1.9",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","312","3.397","54.5","11.2","10.3","5.1","3.5","3.2",".",".","",".","12.2","",".",".","",".",".",".","."
"Special","","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","","77","3.935","54.5","1.3",".",".",".",".","1.3","39.0","",".",".","",".","3.9","",".",".",".","."
"","Dept. Total","392","3.450","54.3","9.2","8.2","4.1","2.8","2.6","0.3","8.2","",".","9.7","",".","0.8","",".",".",".","."
