"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","360
010","20","3.650","40.0","50.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
011","20","3.825","70.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
013","21","3.952","90.5","9.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
014","20","3.800","60.0","40.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
015","20","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
016","19","3.632","36.8","52.6","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
017","20","3.675","35.0","65.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
018","16","3.000","12.5","50.0","18.8",".",".",".","12.5",".",".",".",".",".","6.3",".",".","."
"","360
019","17","3.765","64.7","23.5","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
021","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
022","20","3.725","50.0","45.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
023","16","3.531","50.0","31.3","6.3",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","360
024","20","3.650","55.0","40.0",".",".",".","5.0",".",".",".",".",".",".",".",".",".","."
"","360
025","19","3.711","57.9","31.6","5.3","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","360
026","18","3.806","72.2","16.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
027","20","3.675","50.0","45.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","360
028","18","3.667","55.6","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","360
029","19","3.868","73.7","26.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
030","20","3.800","70.0","25.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","360
031","19","3.605","57.9","26.3","10.5",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"","360
032","20","3.800","70.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
033","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","360
100","19","3.658","73.7","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"","360
101","20","3.650","45.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Workplace Communication","Course Total","623","3.722","58.3","34.5","4.5","1.1","0.5","0.5","0.5",".",".",".",".",".","0.2",".",".","."
"Case Interview Analysis","370
002","66","3.955","93.9","3.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Rdg & Rsch-Business Rsch","399
141","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","400
001","38","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","400
002","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Leadership","Course Total","67","3.985","97.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","450
001","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Prof Exp Bus-Extended Intrnshp","451
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Statistical Learning for BA","656
001","30","3.600","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"ML and AI Models in Business","657
080","80","3.963","95.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data to Decisions","704
051","19","3.763","63.2","26.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of AI in Business","707
050","30","3.783","70.0","23.3","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"AI and the Enterprise","708
050","30","3.933","96.7",".",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"AI and Management","709
050","30","3.800","73.3","20.0","3.3",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"","710
020","41","3.976","95.1","4.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
021","39","3.949","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ethics, Integrity and Society","Course Total","80","3.963","92.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
