"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"PHM PRAC","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Senior","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Undergraduates","2","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Special","1","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","23","4.000","100.0",".",".",".",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","33","3.821","66.7","9.1","6.1",".",".","",".","",".","",".","",".","18.2","",".","",".","",".",".",".","."
"Prof Yr 2","396","3.523","56.3","20.2","16.9","5.1","1.5","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","402","3.717","78.1","11.7","5.7","3.2","1.2","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","269","3.916","89.2","6.7","2.6","1.1","0.4","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","1100","3.762","72.6","13.5","9.0","3.3","1.1","",".","",".","",".","",".","0.5","",".","",".","",".",".",".","."
