"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practice of Industrial Engr","191","001","156","3.958","94.2","4.5",".","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Industrial Statistics","210","001","202","3.876","81.7","13.9","2.5","2.0",".",".",".",".",".",".",".",".",".",".",".","."
"Data Mgmt & Analys for Ind Eng","312","001","47","3.681","61.7","17.0","17.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","60","3.608","50.0","28.3","15.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","83","3.843","75.9","20.5","1.2","1.2","1.2",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","44","3.693","56.8","34.1","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","321","001","29","3.759","62.1","34.5",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"","321","002","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","43","3.733","58.1","34.9","4.7",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","41","3.183","34.1","14.6","26.8","12.2","7.3","4.9",".",".",".",".",".",".",".",".",".","."
"","348","001","32","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","38","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","70","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","77","3.844","75.3","18.2","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design I","350","001","38","3.776","57.9","39.5","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","412","001","40","3.375","52.5","7.5","22.5","12.5",".","2.5","2.5",".",".",".",".",".",".",".",".","."
"","412","003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","","Course Total","59","3.576","67.8","5.1","15.3","8.5",".","1.7","1.7",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","29","3.483","48.3","24.1","13.8","3.4","10.3",".",".",".",".",".",".",".",".",".",".","."
"Engr Spply Chain Mgmt Logistic","445","001","22","3.500","59.1","9.1","13.6","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Industrial Engr Design II","450","001","72","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ind Egr Research","468","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","001","49","3.990","98.0","2.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","521","003","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ML in Action for IEs","","Course Total","56","3.991","98.2","1.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","25","3.500","52.0","16.0","20.0","4.0","8.0",".",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Human Factors Engineering","549","001","56","3.946","94.6","1.8","1.8","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Factors Engr Dsgn&Eval","552","001","18","3.611","38.9","55.6",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","557","001","48","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","557","002","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"HFE for Healthcare","","Course Total","57","3.939","89.5","8.8","1.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Data Sci and ML","562","001","65","3.892","87.7","9.2","1.5",".",".","1.5",".",".",".",".",".",".",".",".",".","."
"Occupatnl Ergonics&Biomechancs","564","001","10","3.500","30.0","40.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Human Factors","602","002","43","3.721","65.1","18.6","14.0",".","2.3",".",".",".",".",".",".",".",".",".",".","."
"Topics in Engr Anlytcs and OR","603","003","14","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Production Systems Control","615","003","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
