"GENERAL BUSINESS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","","","",""
"Role of Business in Society","713","050","","11","3.545","54.5","18.2","18.2",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Corporate Governance","714","040","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Consulting Practicum","725","020","","79","3.639","41.8","44.3","13.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732","020","","39","3.526","33.3","38.5","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732","021","","39","3.526","33.3","38.5","28.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","732","050","","53","3.821","73.6","17.0","9.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Economics for Managers","","Course Total","","131","3.645","49.6","29.8","20.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Robotic Process Automation","745","080","","86","3.924","89.5","5.8","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv SQL & Data Warehousing","746","080","","44","3.682","61.4","15.9","20.5","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Experience in Business","750","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Business Data Technology","760","050","","32","3.688","53.1","31.3","15.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","777","010","","39","3.577","41.0","35.9","20.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","777","011","","38","3.737","63.2","23.7","10.5","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Consulting Skills Bootcamp","","Course Total","","77","3.656","51.9","29.9","15.6","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"","790","013","","27","3.907","92.6",".","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","790","014","","26","3.731","53.8","38.5","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","015","","24","3.792","91.7",".","4.2",".",".",".","4.2",".",".",".",".",".",".",".",".","."
"Consulting Project Capstone","","Course Total","","77","3.812","79.2","13.0","5.2","1.3",".",".","1.3",".",".",".",".",".",".",".",".","."
"EMBA Consulting Practicum I","791","040","","20","3.950","95.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"EMBA Consulting Practicum II","792","040","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Topics in BA and AI","840","010","","61","3.803","80.3","9.8","8.2",".",".",".","1.6",".",".",".",".",".",".",".",".","."
"Business Stats Using Python","881","080","","21","3.786","81.0","14.3",".",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"SQL Fundamentals","882","080","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Data Visualization Cloud Tech","883","080","","23","3.870","91.3",".","4.3",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"Text Mining & Generation","891","080","","80","3.938","92.5","3.8","2.5","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"Consulting Project Management","893","080","","79","3.684","58.2","27.8","10.1","2.5",".","1.3",".",".",".",".",".",".",".",".",".","."
