"DANCE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"741
DANCE","","","","","","","","","","","","","","","","","","",""
"","101
001","23","3.761","73.9","8.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","22","3.727","81.8","4.5","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","101
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Dance I","Course Total","86","3.866","88.4","3.5","4.7","2.3",".","1.2",".",".",".",".",".",".",".",".",".","."
"Social Dance II","102
001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
001","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","106
002","21","3.952","95.2",".","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet II","Course Total","41","3.976","97.6",".","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Dance I","107
001","18","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
005","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
00A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","110
012","22","4.000","95.5",".",".",".",".",".",".","4.5",".",".",".",".",".",".",".","."
"","110
014","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
015","21","3.810","76.2","9.5","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
016","21","3.947","81.0","9.5",".",".",".",".",".","9.5",".",".",".",".",".",".",".","."
"","110
019","13","3.577","53.8","23.1","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"Workshop in Dance Activity","Course Total","131","3.904","85.5","6.9","4.6",".","0.8",".",".","2.3",".",".",".",".",".",".",".","."
"","112
001","14","3.821","78.6","14.3",".","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","112
002","21","3.881","90.5","4.8",".",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","112
003","31","3.806","80.6","3.2","12.9","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"","112
004","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cont Dance Technique&Theory II","Course Total","86","3.858","83.7","7.0","5.8","2.3","1.2",".",".",".",".",".",".",".",".",".",".","."
"Asian American Movement","121
001","10","3.650","80.0","10.0",".",".",".","10.0",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I","125
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ballet Technique I-B","126
001","30","3.966","90.0","6.7",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Somatic Theory and Practices","131
001","29","3.707","72.4","13.8","3.4","3.4","6.9",".",".",".",".",".",".",".",".",".",".","."
"","132
001","25","3.840","80.0","16.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"","132
002","18","4.000","77.8",".",".",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","132
003","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
004","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
005","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
006","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","132
007","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wkshp Body Studies & Practices","Course Total","136","3.970","93.4","2.9",".",".","0.7",".",".","2.9",".",".",".",".",".",".",".","."
"Relax Techs for Stress Mgmt","133
001","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
002","29","3.845","79.3","10.3","10.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","135
003","21","3.667","85.7",".","4.8",".","4.8",".","4.8",".",".",".",".",".",".",".",".","."
"","135
004","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
