"REAL ESTATE & URBAN LAND E Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"239
REAL EST","","","","","","","","","","","","","","","","","","","","",""
"Affordable Housing","560","001","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"RE Investment Analysis","661","001","","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Real Estate Process","701","050","","32","3.703","53.1","40.6","3.1",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Finance","710","001","","6","2.500",".","33.3",".","33.3","16.7","16.7",".",".",".",".",".",".",".",".",".","."
"Techniques-Real Est Valuatn","715","001","","18","3.528","38.9","33.3","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Urban Economics","720","001","","20","3.625","40.0","45.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Commercial Proprty Devlpmnt","750","001","","24","3.729","62.5","20.8","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Real Estate Law","760","001","","28","3.839","71.4","25.0","3.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","001","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","004","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","005","","15","3.967","93.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765","007","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","","Course Total","","60","3.994","98.3","1.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied RE Investment II","842","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Private RE Equity Investment 3","852","001","","26","3.904","84.6","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Real Estate Finance Theory","870","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Real Estate Research Seminar","978","001","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","218","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Real Estate","","Course Total","","4","***","","","","","","","","","","","","","","","",""
