"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","16","3.469","43.8","12.5","37.5","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","14","3.464","57.1",".","28.6","7.1","7.1",".",".",".",".",".",".",".",".",".",".","."
"","100
003","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","16","3.875","93.8",".",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","100
008","14","3.536","71.4","7.1","14.3",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","100
012","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","16","3.656","43.8","50.0",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
017","15","3.333","26.7","40.0","20.0",".","13.3",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","121","3.657","64.5","16.5","12.4","2.5","3.3",".","0.8",".",".",".",".",".",".",".",".","."
"","212
001","18","3.861","77.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","19","3.816","84.2",".","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
005","20","3.875","85.0","5.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
006","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","108","3.912","89.8","3.7","5.6","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","299
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital & Print Media Design","332
001","28","3.714","64.3","25.0","3.6","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Correcting Misinfo in Science","340
001","118","3.830","78.0","12.7","4.2","1.7",".",".","0.8",".",".",".",".",".",".",".","2.5","."
"Photography for the Sciences","450
001","43","3.826","83.7","11.6","2.3",".",".",".","2.3",".",".",".",".",".",".",".",".","."
"Social Media Analytics","460
001","75","3.913","92.0","4.0","2.7",".",".","1.3",".",".",".",".",".",".",".",".",".","."
"Ag Marketing NAMA","477
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Culturally Responsive Sci Comm","480
001","41","3.963","95.1","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Marketing of Sciences","515
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","21","3.786","61.9","33.3","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Writing Science for the Public","561
001","16","4.000","93.8",".",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"Risk Communication","625
001","28","3.732","78.6","10.7","7.1",".",".",".","3.6",".",".",".",".",".",".",".",".","."
"","640
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","640
002","16","3.750","87.5",".","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","Course Total","29","3.828","89.7",".","6.9",".",".","3.4",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloq in Life Sci Communicatn","700
001","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Concep&Design-Mass Com Rsch","811
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci & Envir Communication","823
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Technology and Society","833
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
008","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
009","1","***","","","","","","","","","",".",".",".",".",".",".","."
